age dependency of C_{tEnd} Raltegravir for simulated virtual pediatric population in comparison to simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];C_{tEnd} [µg/l];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;36.3;83;273;25
8.53-9.09;8.8;30.6;89;228;25
9.09-9.6;9.3;29.9;80;193;25
9.6-10.1;9.91;34.2;81.9;269;25
10.1-10.8;10.3;36.4;90.1;197;25
10.8-11.3;11.1;45.9;103;196;25
11.3-11.7;11.5;37.9;80.1;214;25
11.7-12.2;11.9;31.1;56.1;143;25
12.2-12.7;12.5;34.1;87.9;289;25
12.7-13;12.9;25.8;58.1;157;25
13-13.5;13.2;31.5;62.7;139;25
13.5-13.9;13.7;37;76.8;262;25
13.9-14.5;14.2;30.7;87.5;188;25
14.5-15;14.8;24.8;63.9;143;25
15-15.4;15.2;29.6;52;134;25
15.4-16;15.7;30.8;49.7;102;25
16-16.6;16.3;29;62.4;129;25
16.6-17.1;16.9;29.1;72.5;158;25
17.1-17.6;17.3;22.5;60.3;154;25
17.6-18;17.9;29.7;68.3;267;25
;;;;;
reference values:;18.6;32.3;62.8;;
