body weight dependency of Vd Raltegravir for simulated virtual pediatric population in comparison to simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];Vd [ml/kg];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;1.6e+03;2.24e+03;4.48e+03;25
26.9-29.8;28.5;1.5e+03;2.19e+03;8.63e+03;25
29.8-30.9;30.3;1.39e+03;2.08e+03;3.34e+03;25
30.9-33.3;32.5;1.3e+03;1.74e+03;3.8e+03;25
33.3-35.8;34.1;1.21e+03;1.76e+03;8.9e+03;25
35.8-37.8;36.7;1.15e+03;1.88e+03;3.6e+03;25
37.8-40.1;39.1;1.22e+03;2.02e+03;5.26e+03;25
40.1-41.5;41;1.14e+03;1.81e+03;4.5e+03;25
41.5-43.2;42.3;1.12e+03;1.95e+03;4.48e+03;25
43.2-45.4;43.8;1.14e+03;1.75e+03;5.75e+03;25
45.4-47.7;46.4;1.19e+03;1.96e+03;4.24e+03;25
47.7-49.4;48.6;1.13e+03;1.71e+03;2.92e+03;25
49.4-51;50.3;1.2e+03;1.65e+03;2.38e+03;25
51-52.9;52.2;1.17e+03;1.57e+03;7.46e+03;25
52.9-55.3;53.8;1.19e+03;1.97e+03;5.33e+03;25
55.3-57.2;56.4;1.06e+03;1.66e+03;2.97e+03;25
57.2-59.4;57.9;1.08e+03;1.82e+03;3.95e+03;25
59.4-62.1;60.9;1.11e+03;1.64e+03;3.33e+03;25
62.1-67.1;63.9;923;1.44e+03;3.14e+03;25
67.1-89;71.5;1.06e+03;1.63e+03;3.34e+03;25
;;;;;
reference values:;3.98e+03;7.8e+03;1.93e+04;;
