body weight dependency of AUC_{last} Raltegravir for simulated virtual pediatric population in comparison to simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];AUC_{last} [µg*h/l];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;4.2e+03;6.13e+03;9.8e+03;25
26.9-29.8;28.5;4.42e+03;5.72e+03;9.62e+03;25
29.8-30.9;30.3;4.08e+03;6.37e+03;9.63e+03;25
30.9-33.3;32.5;3.96e+03;6.11e+03;8.69e+03;25
33.3-35.8;34.1;2.78e+03;6.05e+03;8.83e+03;25
35.8-37.8;36.7;3.49e+03;5.75e+03;8.48e+03;25
37.8-40.1;39.1;3.51e+03;5.47e+03;7.19e+03;25
40.1-41.5;41;3.49e+03;5e+03;8.05e+03;25
41.5-43.2;42.3;3.25e+03;4.52e+03;7.59e+03;25
43.2-45.4;43.8;3.7e+03;5.16e+03;6.54e+03;25
45.4-47.7;46.4;2.71e+03;4.69e+03;6.46e+03;25
47.7-49.4;48.6;3.25e+03;4.73e+03;7.79e+03;25
49.4-51;50.3;3.18e+03;4.67e+03;6.77e+03;25
51-52.9;52.2;2.64e+03;4.38e+03;6.16e+03;25
52.9-55.3;53.8;2.49e+03;4.11e+03;5.56e+03;25
55.3-57.2;56.4;2.93e+03;4.18e+03;6.46e+03;25
57.2-59.4;57.9;2.69e+03;3.78e+03;6.17e+03;25
59.4-62.1;60.9;3.24e+03;4e+03;6.1e+03;25
62.1-67.1;63.9;3.23e+03;4.26e+03;6.53e+03;25
67.1-89;71.5;2.58e+03;3.76e+03;6.09e+03;25
;;;;;
reference values:;6.3e+03;9.64e+03;1.49e+04;;
