age dependency of Thalf Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];Thalf [%];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;24.2;29.9;49.6;25
8.53-9.09;8.8;20;31.7;771;25
9.09-9.6;9.3;23.2;33.5;45.6;25
9.6-10.1;9.91;25.9;32.5;76;25
10.1-10.8;10.3;24.4;31;222;25
10.8-11.3;11.1;24.8;30.9;846;25
11.3-11.7;11.5;23;30;86.1;25
11.7-12.2;11.9;23.7;29.7;42.6;25
12.2-12.7;12.5;25.9;33.2;75.1;25
12.7-13;12.9;25.3;29.6;54.4;25
13-13.5;13.2;22.8;31.4;152;25
13.5-13.9;13.7;24;34.2;80;25
13.9-14.5;14.2;26.7;32.2;80;25
14.5-15;14.8;27.5;35.6;79;25
15-15.4;15.2;25.4;30.4;69.9;25
15.4-16;15.7;26.6;35.2;55.5;25
16-16.6;16.3;25.2;34;81.4;25
16.6-17.1;16.9;27.3;32;49.2;25
17.1-17.6;17.3;26.2;33.1;50.9;25
17.6-18;17.9;25.4;36.8;73.4;25
