age dependency of CL Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];CL [%];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;52.5;82;140;25
8.53-9.09;8.8;41.7;79.6;130;25
9.09-9.6;9.3;47.3;91;137;25
9.6-10.1;9.91;50.4;71.3;103;25
10.1-10.8;10.3;44.8;79.1;108;25
10.8-11.3;11.1;40;65.4;125;25
11.3-11.7;11.5;44.3;77.7;126;25
11.7-12.2;11.9;52.7;78;111;25
12.2-12.7;12.5;38.8;59.7;117;25
12.7-13;12.9;44.9;75.3;111;25
13-13.5;13.2;45.8;73.3;118;25
13.5-13.9;13.7;35.5;60.9;90.5;25
13.9-14.5;14.2;43.1;56.9;106;25
14.5-15;14.8;44.8;74.1;98.3;25
15-15.4;15.2;49.3;69.2;100;25
15.4-16;15.7;46.7;68;89.5;25
16-16.6;16.3;46.8;68.5;106;25
16.6-17.1;16.9;42.4;66.7;102;25
17.1-17.6;17.3;43;69.2;127;25
17.6-18;17.9;39.6;63.1;97.6;25
