age dependency of C_{max} Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];C_{max} [%];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;18.3;37;74.7;25
8.53-9.09;8.8;14.9;30.6;61.4;25
9.09-9.6;9.3;13.3;33.5;95.5;25
9.6-10.1;9.91;22.1;31.1;75.3;25
10.1-10.8;10.3;16.4;29.9;47;25
10.8-11.3;11.1;12.6;25.2;42.1;25
11.3-11.7;11.5;12.6;23.6;35.4;25
11.7-12.2;11.9;16.4;24.7;46.9;25
12.2-12.7;12.5;12.4;25.3;57.8;25
12.7-13;12.9;14.3;23.9;42.3;25
13-13.5;13.2;16;21.2;42.9;25
13.5-13.9;13.7;12.8;21.9;39.2;25
13.9-14.5;14.2;13.3;22.8;38.1;25
14.5-15;14.8;9.45;21.3;45.1;25
15-15.4;15.2;9.05;20.9;44.9;25
15.4-16;15.7;10.7;22.8;52;25
16-16.6;16.3;11.3;23.1;43.7;25
16.6-17.1;16.9;12;20.6;30.6;25
17.1-17.6;17.3;12;20.2;41.8;25
17.6-18;17.9;12;20.4;38.3;25
