age dependency of C_{max} norm Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];C_{max} norm [%];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;33.6;63.9;115;25
8.53-9.09;8.8;27.7;56.4;117;25
9.09-9.6;9.3;25.2;57.9;179;25
9.6-10.1;9.91;46.1;69;156;25
10.1-10.8;10.3;37;64.3;96.8;25
10.8-11.3;11.1;33.1;57.9;107;25
11.3-11.7;11.5;33.3;55;96.5;25
11.7-12.2;11.9;43.6;57.8;149;25
12.2-12.7;12.5;34.2;75;139;25
12.7-13;12.9;42.3;65.4;143;25
13-13.5;13.2;48.3;60.5;136;25
13.5-13.9;13.7;36.9;84.1;138;25
13.9-14.5;14.2;38.2;75.7;116;25
14.5-15;14.8;28.3;80.3;129;25
15-15.4;15.2;32.7;76.6;150;25
15.4-16;15.7;38.1;80.8;196;25
16-16.6;16.3;31.2;74;134;25
16.6-17.1;16.9;38.9;74.3;115;25
17.1-17.6;17.3;35.1;78;139;25
17.6-18;17.9;40.1;74.7;133;25
