age dependency of t_{max} Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];T_{max} [%];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;170;321;696;25
8.53-9.09;8.8;186;393;607;25
9.09-9.6;9.3;98.2;321;518;25
9.6-10.1;9.91;116;321;589;25
10.1-10.8;10.3;209;321;536;25
10.8-11.3;11.1;207;357;589;25
11.3-11.7;11.5;209;429;643;25
11.7-12.2;11.9;134;321;643;25
12.2-12.7;12.5;116;393;661;25
12.7-13;12.9;114;321;598;25
13-13.5;13.2;150;393;580;25
13.5-13.9;13.7;155;393;545;25
13.9-14.5;14.2;234;357;563;25
14.5-15;14.8;141;357;563;25
15-15.4;15.2;134;393;580;25
15.4-16;15.7;96.4;321;500;25
16-16.6;16.3;127;357;509;25
16.6-17.1;16.9;259;393;509;25
17.1-17.6;17.3;129;357;545;25
17.6-18;17.9;196;321;625;25
