age dependency of AUC_{last} norm Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];AUC_{last} norm [%];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;72.3;122;193;25
8.53-9.09;8.8;76;119;191;25
9.09-9.6;9.3;70.9;113;214;25
9.6-10.1;9.91;99.6;142;188;25
10.1-10.8;10.3;92.9;129;173;25
10.8-11.3;11.1;83;137;183;25
11.3-11.7;11.5;76.5;131;224;25
11.7-12.2;11.9;92.3;126;192;25
12.2-12.7;12.5;88.5;163;239;25
12.7-13;12.9;90.3;135;221;25
13-13.5;13.2;88.4;135;188;25
13.5-13.9;13.7;113;152;264;25
13.9-14.5;14.2;94.6;159;225;25
14.5-15;14.8;84.4;130;226;25
15-15.4;15.2;78.3;148;198;25
15.4-16;15.7;107;151;211;25
16-16.6;16.3;86.5;145;210;25
16.6-17.1;16.9;96.5;146;229;25
17.1-17.6;17.3;80.8;147;231;25
17.6-18;17.9;97.2;148;231;25
