age dependency of AUC_{inf} Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];AUC_{inf} [%];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;48.1;71.6;104;25
8.53-9.09;8.8;48.1;70.1;212;25
9.09-9.6;9.3;42.2;60.4;111;25
9.6-10.1;9.91;50.6;65.1;100;25
10.1-10.8;10.3;45.8;66.8;103;25
10.8-11.3;11.1;40.9;63.2;224;25
11.3-11.7;11.5;37;52;89.9;25
11.7-12.2;11.9;37.9;50.1;72.9;25
12.2-12.7;12.5;36.9;61.3;88.4;25
12.7-13;12.9;30.9;45.3;75;25
13-13.5;13.2;33.6;47.9;73.8;25
13.5-13.9;13.7;40.2;49.7;91.7;25
13.9-14.5;14.2;37;52.6;68.7;25
14.5-15;14.8;31.1;44.1;64.2;25
15-15.4;15.2;29.3;44.8;62;25
15.4-16;15.7;29.8;43.5;56.4;25
16-16.6;16.3;31;40.8;72.6;25
16.6-17.1;16.9;31.8;45.8;68.3;25
17.1-17.6;17.3;27.7;39.4;73.4;25
17.6-18;17.9;30.2;44.1;68;25
