body weight dependency of Thalf Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];Thalf [%];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;22.6;32.2;47.9;25
26.9-29.8;28.5;20;31;787;25
29.8-30.9;30.3;26.7;31.7;45.9;25
30.9-33.3;32.5;24;30.1;51.2;25
33.3-35.8;34.1;24.5;31.1;121;25
35.8-37.8;36.7;25.6;30.8;58.8;25
37.8-40.1;39.1;23.5;32.1;118;25
40.1-41.5;41;27.3;33.7;93.7;25
41.5-43.2;42.3;23.3;30.7;70.4;25
43.2-45.4;43.8;24.4;32.8;815;25
45.4-47.7;46.4;24.3;33.5;104;25
47.7-49.4;48.6;23.6;35.6;48.5;25
49.4-51;50.3;25.7;31.5;43.2;25
51-52.9;52.2;24.2;30.9;155;25
52.9-55.3;53.8;27;34;97.3;25
55.3-57.2;56.4;25.6;33;45.1;25
57.2-59.4;57.9;27.1;32.9;65.9;25
59.4-62.1;60.9;26.8;35.8;67.9;25
62.1-67.1;63.9;26.1;32.2;67.2;25
67.1-89;71.5;28;37.1;54.7;25
