body weight dependency of CL Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];CL [%];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;70.6;102;148;25
26.9-29.8;28.5;37.4;95.8;121;25
29.8-30.9;30.3;53.1;76.4;124;25
30.9-33.3;32.5;55.6;79.6;126;25
33.3-35.8;34.1;49.7;72.8;134;25
35.8-37.8;36.7;44.9;76.9;121;25
37.8-40.1;39.1;49.7;72;115;25
40.1-41.5;41;47.1;74.1;109;25
41.5-43.2;42.3;47;77.7;113;25
43.2-45.4;43.8;42.1;65.6;93.2;25
45.4-47.7;46.4;44.3;71.1;127;25
47.7-49.4;48.6;38.8;68;96.6;25
49.4-51;50.3;46.9;67.2;98.5;25
51-52.9;52.2;43.5;63.7;95.8;25
52.9-55.3;53.8;45.1;68.6;97.5;25
55.3-57.2;56.4;42.6;65.8;90.9;25
57.2-59.4;57.9;36.6;70.9;100;25
59.4-62.1;60.9;41.4;63.1;80.6;25
62.1-67.1;63.9;36;55.4;72.7;25
67.1-89;71.5;34.2;57;81.6;25
