body weight dependency of Vd Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];Vd [%];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;20.5;28.7;57.4;25
26.9-29.8;28.5;19.2;28;111;25
29.8-30.9;30.3;17.8;26.6;42.9;25
30.9-33.3;32.5;16.7;22.3;48.8;25
33.3-35.8;34.1;15.5;22.5;114;25
35.8-37.8;36.7;14.8;24.1;46.2;25
37.8-40.1;39.1;15.7;25.8;67.4;25
40.1-41.5;41;14.6;23.2;57.7;25
41.5-43.2;42.3;14.3;25;57.4;25
43.2-45.4;43.8;14.6;22.4;73.7;25
45.4-47.7;46.4;15.2;25.2;54.3;25
47.7-49.4;48.6;14.5;22;37.4;25
49.4-51;50.3;15.4;21.1;30.6;25
51-52.9;52.2;15;20.1;95.7;25
52.9-55.3;53.8;15.3;25.2;68.4;25
55.3-57.2;56.4;13.5;21.3;38.1;25
57.2-59.4;57.9;13.8;23.4;50.7;25
59.4-62.1;60.9;14.2;21;42.7;25
62.1-67.1;63.9;11.8;18.4;40.3;25
67.1-89;71.5;13.6;20.9;42.8;25
