body weight dependency of C_{max} norm Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];C_{max} norm [%];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;24.8;61.1;117;25
26.9-29.8;28.5;37.8;55.2;142;25
29.8-30.9;30.3;34.2;70.3;136;25
30.9-33.3;32.5;26;62.3;156;25
33.3-35.8;34.1;24.9;63.9;109;25
35.8-37.8;36.7;36.2;69.7;127;25
37.8-40.1;39.1;36.5;69;102;25
40.1-41.5;41;41.7;64.9;175;25
41.5-43.2;42.3;41.6;57.7;113;25
43.2-45.4;43.8;36.6;73.2;122;25
45.4-47.7;46.4;30.5;72.6;109;25
47.7-49.4;48.6;38.2;70.6;138;25
49.4-51;50.3;40.6;70;142;25
51-52.9;52.2;35.8;68.5;150;25
52.9-55.3;53.8;29.5;79.7;142;25
55.3-57.2;56.4;39.1;81.7;114;25
57.2-59.4;57.9;42.7;69.9;131;25
59.4-62.1;60.9;57;81.6;144;25
62.1-67.1;63.9;56;84.4;127;25
67.1-89;71.5;50.5;91.1;196;25
