body weight dependency of MRT Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];MRT [%];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;56.8;90.4;123;25
26.9-29.8;28.5;60;88;1.95e+03;25
29.8-30.9;30.3;52.5;87.6;145;25
30.9-33.3;32.5;61.7;94.4;155;25
33.3-35.8;34.1;69.6;96.7;281;25
35.8-37.8;36.7;74;88.5;131;25
37.8-40.1;39.1;71.5;101;247;25
40.1-41.5;41;67.7;95.7;194;25
41.5-43.2;42.3;72.3;99.6;148;25
43.2-45.4;43.8;64;96.3;2.06e+03;25
45.4-47.7;46.4;65.6;107;283;25
47.7-49.4;48.6;60.5;109;173;25
49.4-51;50.3;77.1;93;151;25
51-52.9;52.2;61.6;103;365;25
52.9-55.3;53.8;67.9;91.5;232;25
55.3-57.2;56.4;74.6;99.7;138;25
57.2-59.4;57.9;65.8;99.6;191;25
59.4-62.1;60.9;71;95.5;154;25
62.1-67.1;63.9;81.9;111;138;25
67.1-89;71.5;67.5;98.8;138;25
