Age-dependence of age for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Age [years];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;8.02;8.2;8.5;25
8.53-9.09;8.8;8.55;8.8;9.08;25
9.09-9.6;9.3;9.13;9.3;9.58;25
9.6-10.1;9.91;9.63;9.91;10.1;25
10.1-10.8;10.3;10.2;10.3;10.7;25
10.8-11.3;11.1;10.8;11.1;11.3;25
11.3-11.7;11.5;11.3;11.5;11.7;25
11.7-12.2;11.9;11.7;11.9;12.1;25
12.2-12.7;12.5;12.2;12.5;12.7;25
12.7-13;12.9;12.8;12.9;13;25
13-13.5;13.2;13.1;13.2;13.5;25
13.5-13.9;13.7;13.5;13.7;13.9;25
13.9-14.5;14.2;13.9;14.2;14.5;25
14.5-15;14.8;14.5;14.8;15;25
15-15.4;15.2;15;15.2;15.4;25
15.4-16;15.7;15.5;15.7;15.9;25
16-16.6;16.3;16;16.3;16.6;25
16.6-17.1;16.9;16.6;16.9;17;25
17.1-17.6;17.3;17.1;17.3;17.6;25
17.6-18;17.9;17.7;17.9;18;25
;;;;;
reference values:;20.5;31.4;38.6;;
