Age-dependence of Ontogeny factor CYP2D6 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor CYP2D6;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.294;0.879;3.06;25
8.53-9.09;8.8;0.281;0.69;3.36;25
9.09-9.6;9.3;0.227;0.815;2.52;25
9.6-10.1;9.91;0.336;0.946;4.05;25
10.1-10.8;10.3;0.328;0.954;2.89;25
10.8-11.3;11.1;0.262;1.11;5.56;25
11.3-11.7;11.5;0.232;0.889;3.12;25
11.7-12.2;11.9;0.256;1.14;2.89;25
12.2-12.7;12.5;0.257;0.845;3.87;25
12.7-13;12.9;0.417;0.846;2.61;25
13-13.5;13.2;0.127;1.26;6.02;25
13.5-13.9;13.7;0.135;1.03;4.07;25
13.9-14.5;14.2;0.262;0.718;2.9;25
14.5-15;14.8;0.205;1.06;3.35;25
15-15.4;15.2;0.188;0.841;2.77;25
15.4-16;15.7;0.296;0.875;6.05;25
16-16.6;16.3;0.195;1.07;5.01;25
16.6-17.1;16.9;0.251;0.834;6.16;25
17.1-17.6;17.3;0.156;0.881;2.37;25
17.6-18;17.9;0.13;1.1;3.75;25
;;;;;
reference values:;0.141;0.883;5.01;;
