Age-dependence of Ontogeny factor CYP2E1 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor CYP2E1;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.57;0.984;1.54;25
8.53-9.09;8.8;0.672;1.16;1.95;25
9.09-9.6;9.3;0.589;1.02;1.43;25
9.6-10.1;9.91;0.593;0.932;1.71;25
10.1-10.8;10.3;0.647;1.06;1.46;25
10.8-11.3;11.1;0.6;0.988;1.71;25
11.3-11.7;11.5;0.544;0.992;1.63;25
11.7-12.2;11.9;0.472;1.01;1.87;25
12.2-12.7;12.5;0.606;0.973;1.79;25
12.7-13;12.9;0.663;1.01;1.47;25
13-13.5;13.2;0.757;1.04;1.85;25
13.5-13.9;13.7;0.574;1.1;1.49;25
13.9-14.5;14.2;0.63;1.08;1.83;25
14.5-15;14.8;0.656;0.875;1.51;25
15-15.4;15.2;0.589;1.12;1.86;25
15.4-16;15.7;0.651;0.975;1.46;25
16-16.6;16.3;0.701;1.06;1.43;25
16.6-17.1;16.9;0.619;0.951;1.75;25
17.1-17.6;17.3;0.716;0.986;1.74;25
17.6-18;17.9;0.585;0.883;1.59;25
;;;;;
reference values:;0.566;1.01;1.73;;
