Age-dependence of Ontogeny factor GI UGT1A4 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor GI UGT1A4;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.813;0.993;1.22;25
8.53-9.09;8.8;0.839;1.04;1.26;25
9.09-9.6;9.3;0.766;0.995;1.2;25
9.6-10.1;9.91;0.797;0.994;1.24;25
10.1-10.8;10.3;0.878;1.02;1.31;25
10.8-11.3;11.1;0.819;0.977;1.2;25
11.3-11.7;11.5;0.82;1.02;1.31;25
11.7-12.2;11.9;0.84;1.03;1.24;25
12.2-12.7;12.5;0.792;0.991;1.3;25
12.7-13;12.9;0.783;0.992;1.25;25
13-13.5;13.2;0.768;1.01;1.27;25
13.5-13.9;13.7;0.823;1.06;1.24;25
13.9-14.5;14.2;0.724;1.04;1.28;25
14.5-15;14.8;0.88;1.03;1.24;25
15-15.4;15.2;0.784;1.01;1.2;25
15.4-16;15.7;0.774;0.935;1.15;25
16-16.6;16.3;0.839;0.991;1.36;25
16.6-17.1;16.9;0.86;1.01;1.25;25
17.1-17.6;17.3;0.803;0.955;1.26;25
17.6-18;17.9;0.783;0.988;1.17;25
;;;;;
reference values:;0.82;1;1.25;;
