Age-dependence of Ontogeny factor UGT1A6 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor UGT1A6;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.747;0.975;1.26;25
8.53-9.09;8.8;0.804;0.985;1.28;25
9.09-9.6;9.3;0.817;1.02;1.28;25
9.6-10.1;9.91;0.8;0.976;1.24;25
10.1-10.8;10.3;0.749;0.985;1.29;25
10.8-11.3;11.1;0.739;0.969;1.3;25
11.3-11.7;11.5;0.8;1;1.2;25
11.7-12.2;11.9;0.794;0.974;1.13;25
12.2-12.7;12.5;0.691;1.08;1.26;25
12.7-13;12.9;0.799;1.06;1.19;25
13-13.5;13.2;0.762;1.05;1.36;25
13.5-13.9;13.7;0.877;1.02;1.23;25
13.9-14.5;14.2;0.824;1.07;1.19;25
14.5-15;14.8;0.874;0.994;1.31;25
15-15.4;15.2;0.819;0.994;1.24;25
15.4-16;15.7;0.778;0.984;1.31;25
16-16.6;16.3;0.821;1.01;1.27;25
16.6-17.1;16.9;0.848;1.03;1.18;25
17.1-17.6;17.3;0.827;1;1.34;25
17.6-18;17.9;0.779;1.02;1.38;25
;;;;;
reference values:;0.817;1.02;1.26;;
