Age-dependence of body weight for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Body weight [kg];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;22;25.7;34.7;25
8.53-9.09;8.8;23.3;29.1;40.7;25
9.09-9.6;9.3;25.5;29.9;38.4;25
9.6-10.1;9.91;29.2;33.4;40;25
10.1-10.8;10.3;28.5;32.9;40.7;25
10.8-11.3;11.1;30.2;36.9;53.2;25
11.3-11.7;11.5;33.4;40.6;47.4;25
11.7-12.2;11.9;29.9;41.6;58.2;25
12.2-12.7;12.5;32.5;43.2;54.5;25
12.7-13;12.9;39.7;47.7;66;25
13-13.5;13.2;38.3;42.7;61.1;25
13.5-13.9;13.7;42;52.5;68.9;25
13.9-14.5;14.2;40.6;50.6;65.4;25
14.5-15;14.8;39.4;53.8;67.3;25
15-15.4;15.2;45.1;56;67.4;25
15.4-16;15.7;47.2;55.8;80.8;25
16-16.6;16.3;37.4;53.9;73;25
16.6-17.1;16.9;44.1;53.4;72.7;25
17.1-17.6;17.3;44.9;58.3;76.2;25
17.6-18;17.9;43.9;58.6;74.4;25
;;;;;
reference values:;47.7;65;84.3;;
