Age-dependence of Ontogeny factor UGT2B7 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor UGT2B7;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.55;0.927;1.67;25
8.53-9.09;8.8;0.653;1.03;1.86;25
9.09-9.6;9.3;0.47;0.883;2.08;25
9.6-10.1;9.91;0.455;0.947;2.4;25
10.1-10.8;10.3;0.712;1.1;1.6;25
10.8-11.3;11.1;0.519;1.04;2.53;25
11.3-11.7;11.5;0.42;0.962;2.5;25
11.7-12.2;11.9;0.538;0.932;2.07;25
12.2-12.7;12.5;0.351;0.851;1.99;25
12.7-13;12.9;0.378;0.746;1.37;25
13-13.5;13.2;0.545;1.15;2.22;25
13.5-13.9;13.7;0.401;0.894;1.99;25
13.9-14.5;14.2;0.455;1.03;2.14;25
14.5-15;14.8;0.545;0.952;1.81;25
15-15.4;15.2;0.457;0.67;1.33;25
15.4-16;15.7;0.559;1.01;2.69;25
16-16.6;16.3;0.442;0.999;1.8;25
16.6-17.1;16.9;0.413;0.979;2.16;25
17.1-17.6;17.3;0.449;0.832;1.38;25
17.6-18;17.9;0.496;0.879;3.2;25
;;;;;
reference values:;0.44;1.08;2.22;;
