Age-dependence of Ontogeny factor GI UGT2B7 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor GI UGT2B7;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.491;0.902;1.95;25
8.53-9.09;8.8;0.42;1.19;3.35;25
9.09-9.6;9.3;0.554;1.17;1.87;25
9.6-10.1;9.91;0.489;0.88;2.06;25
10.1-10.8;10.3;0.701;1.13;2.48;25
10.8-11.3;11.1;0.412;1.2;2.3;25
11.3-11.7;11.5;0.608;0.964;2.06;25
11.7-12.2;11.9;0.529;0.946;2.34;25
12.2-12.7;12.5;0.613;1.14;2.23;25
12.7-13;12.9;0.461;0.853;1.43;25
13-13.5;13.2;0.4;0.913;2;25
13.5-13.9;13.7;0.454;1.01;2.04;25
13.9-14.5;14.2;0.412;0.956;1.92;25
14.5-15;14.8;0.38;0.994;2.34;25
15-15.4;15.2;0.573;1.16;2.55;25
15.4-16;15.7;0.62;1.02;2.06;25
16-16.6;16.3;0.393;1.11;1.91;25
16.6-17.1;16.9;0.372;1.02;2.24;25
17.1-17.6;17.3;0.567;1.21;2.27;25
17.6-18;17.9;0.609;1.09;2.48;25
;;;;;
reference values:;0.429;0.953;2.03;;
