Age-dependence of Ontogeny factor CYP3A4 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor CYP3A4;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.751;1;1.4;25
8.53-9.09;8.8;0.754;1.01;1.29;25
9.09-9.6;9.3;0.726;0.987;1.38;25
9.6-10.1;9.91;0.695;1.01;1.26;25
10.1-10.8;10.3;0.785;0.982;1.4;25
10.8-11.3;11.1;0.619;0.984;1.2;25
11.3-11.7;11.5;0.773;0.988;1.25;25
11.7-12.2;11.9;0.786;1.02;1.25;25
12.2-12.7;12.5;0.704;0.957;1.4;25
12.7-13;12.9;0.849;1.03;1.29;25
13-13.5;13.2;0.751;0.981;1.19;25
13.5-13.9;13.7;0.913;1.06;1.46;25
13.9-14.5;14.2;0.751;0.988;1.29;25
14.5-15;14.8;0.791;0.989;1.31;25
15-15.4;15.2;0.708;0.975;1.36;25
15.4-16;15.7;0.787;1.01;1.34;25
16-16.6;16.3;0.901;1.09;1.28;25
16.6-17.1;16.9;0.656;0.843;1.21;25
17.1-17.6;17.3;0.782;0.951;1.33;25
17.6-18;17.9;0.703;1.03;1.4;25
;;;;;
reference values:;0.73;0.952;1.31;;
