Percentile of Vss of Raltegravir.;;;;;;;;;
;;;;;;;;;
Vss [ml/kg];;;;;;;;;
;5^{th} prctl.;25^{th} prctl.;50^{th} prctl.;75^{th} prctl.;95^{th} prctl.;arith. mean;std;geo. mean;geo. CV
Raltegravir 10 mg   (lactose formulation);1237.58476670304;1501.28267173699;1739.60452282497;2044.86024684766;2883.75270015639;1876.51039778329;630.3725280371;1802.49026596668;0.274512511478783
Raltegravir 25 mg  (lactose formulation);1237.0241565462;1496.82721565832;1731.07891662421;2034.53971678715;2861.1771268499;1869.65994054018;628.617364811184;1796.09877975848;0.273917050189709
Raltegravir 50 mg  (lactose formulation);1492.94471071993;1896.36590697624;2223.80340806407;2672.57392647655;3808.37766840705;2352.72079656506;718.735165689056;2262.40786197991;0.278609861894285
Raltegravir 100 mg  (lactose formulation);1485.3813168931;1890.96178769597;2209.48600786525;2629.7969686252;3747.02465844133;2327.46098811181;707.44693671675;2239.83696670874;0.275365794161288
Raltegravir 200 mg   (lactose formulation);1483.01766655508;1860.31617149376;2173.31408749303;2542.4457532752;3454.22193099444;2282.902283621;693.830552770859;2200.5695910402;0.2674048132628
Raltegravir 400mg (lactose formulation);1457.00678397773;1832.78228387011;2128.48222616187;2464.2405240295;3488.21520523588;2252.80197603777;718.488794075272;2165.78545460269;0.275632856519757
Raltegravir 800 mg  (lactose formulation);1430.20172612897;1793.63042283178;2138.39643463025;2444.6599998287;3633.9128540974;2232.98297921062;752.856108699974;2138.15484320885;0.288663041068243
Raltegravir 1200 mg   (lactose formulation);1423.96470150276;1756.53022790203;2099.61393428254;2427.45577300351;3738.58782355025;2234.8519719202;771.420394653927;2133.89618681613;0.298851753170774
Raltegravir 1600 mg  (lactose formulation);1419.72005716054;1739.42864169989;2119.35525857504;2433.54630598074;3820.26249209868;2256.40186403748;795.47460090192;2148.90664698218;0.307999961854846
Raltegravir 100 mg filmcoated tablet md;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Raltegravir 200 mg filmcoated tablet md;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Filmcoated_tablet_400mg_sd;1993.71599531981;2569.39855629491;3064.17900265595;3715.71954915536;5578.20781193657;3384.5259932752;1669.90498602328;3164.70739191749;0.345834992765778
Raltegravir 400 mg filmcoated tablet md;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Raltegravir 400mg chewable fasted;1049.78703918582;1346.22319501669;1570.76338355555;1876.05557438531;3510.51816485964;1949.53190913107;2469.15659146632;1667.64075576017;0.434692011476995
Raltegravir 400mg chewable fed;1454.51840617386;1926.6667272586;2326.91629192062;3057.90755358702;4763.49857935866;2960.02786853877;3948.6283377144;2503.39511795839;0.456441122012514
Raltegravir 400mg (granules in suspension);799.475101795873;1018.05811270683;1190.40078198127;1418.92967297352;2842.34038538617;1586.64699456943;2780.77173134099;1279.10512952653;0.474260943847423
