Percentile of C_{max} norm of Raltegravir.;;;;;;;;;
;;;;;;;;;
C_{max} norm [kg/l];;;;;;;;;
;5^{th} prctl.;25^{th} prctl.;50^{th} prctl.;75^{th} prctl.;95^{th} prctl.;arith. mean;std;geo. mean;geo. CV
Raltegravir 10 mg   (lactose formulation);0.509174127937272;0.663459461961001;0.767106121925503;0.897748344538125;1.09583058594486;0.782624510528501;0.172929809351616;0.76260534273335;0.237859778101139
Raltegravir 25 mg  (lactose formulation);0.512704912430151;0.669065181779346;0.770462806121491;0.900301972575296;1.09791768165155;0.785415170730218;0.173008141738065;0.76546327242193;0.236934499349463
Raltegravir 50 mg  (lactose formulation);0.519933537126026;0.678338827389763;0.776359931008827;0.905663004435589;1.1059750960947;0.790691059249032;0.173380881648553;0.770812786321894;0.235540619133972
Raltegravir 100 mg  (lactose formulation);0.533448839363441;0.692119921629381;0.787378823055066;0.91569861368541;1.11759081141437;0.800188993673987;0.173924447965996;0.780473416123732;0.232861550493299
Raltegravir 200 mg   (lactose formulation);0.549664146442497;0.707504579531536;0.801512662659465;0.931066911569594;1.13467743964243;0.815541217320772;0.174397533151497;0.796175403943114;0.228063280221194
Raltegravir 400mg (lactose formulation);0.570334826142375;0.727414786670424;0.819448320533967;0.957706176766617;1.15086984524329;0.837072216563207;0.174494939835611;0.818296341908701;0.220907805219343
Raltegravir 800 mg  (lactose formulation);0.596622724718491;0.746756516923092;0.848939597817548;0.985364723821067;1.16615326559685;0.862056275492825;0.173630714408347;0.844103560676861;0.212100187525138
Raltegravir 1200 mg   (lactose formulation);0.61310828009323;0.758037350199363;0.860802099002537;0.993140783669395;1.17640388193262;0.875866651530737;0.172458548997331;0.85847653006934;0.206720282384398
Raltegravir 1600 mg  (lactose formulation);0.624432724110876;0.766218878811752;0.870722423277479;0.996062441690191;1.1830722678551;0.883211518116907;0.171218679431788;0.866208345519282;0.20342492575041
Raltegravir 100 mg filmcoated tablet md;0.420235537727516;0.543622493658513;0.62490258498373;0.73387134272381;0.891872426969554;0.638776622317929;0.139329273779157;0.623095709709216;0.231697278720295
Raltegravir 200 mg filmcoated tablet md;0.43249720093903;0.556129391658738;0.636989581062158;0.743193927768116;0.90308410901464;0.649359565140655;0.139589895037771;0.633930377412591;0.227536905668945
Filmcoated_tablet_400mg_sd;0.433575762148834;0.553634789698407;0.62456635876991;0.729313171526119;0.878972124707382;0.637535155945234;0.133055682680661;0.623171324140625;0.221571875675572
Raltegravir 400 mg filmcoated tablet md;0.446195866572007;0.579609856941585;0.651941043984161;0.75826666278619;0.91508552278985;0.665555258499527;0.139649896243599;0.650514893611287;0.221529947236819
Raltegravir 400mg chewable fasted;0.778309731209129;0.982544995040376;1.11195008272988;1.29542425370156;1.54655840433903;1.13418018626511;0.232573570067845;1.10963208670533;0.216616128029784
Raltegravir 400mg chewable fed;0.231933041730527;0.338296152757961;0.451814020797783;0.556971337433678;0.79081604958691;0.468432830410821;0.166227805940953;0.439804025776201;0.373688771755649
Raltegravir 400mg (granules in suspension);1.00918791224059;1.2682709644402;1.44053460456488;1.6693312150454;1.98230314751492;1.46397605447503;0.296739734075841;1.43308089944903;0.213625250961858
