Percentile of t_{max} of Raltegravir.;;;;;;;;;
;;;;;;;;;
T_{max} [h];;;;;;;;;
;5^{th} prctl.;25^{th} prctl.;50^{th} prctl.;75^{th} prctl.;95^{th} prctl.;arith. mean;std;geo. mean;geo. CV
Raltegravir 10 mg   (lactose formulation);0.5;0.6;0.7;0.8;1;0.7225;0.149810486342518;0.70720347888136;0.211378214792938
Raltegravir 25 mg  (lactose formulation);0.5;0.6;0.7;0.8;1;0.722;0.149801215083203;0.706715727170328;0.211293459765977
Raltegravir 50 mg  (lactose formulation);0.5;0.6;0.7;0.8;1;0.721;0.149270955586873;0.705831732887369;0.210525530090996
Raltegravir 100 mg  (lactose formulation);0.5;0.6;0.7;0.8;1;0.7195;0.149898113545316;0.70418697555476;0.211746424417128
Raltegravir 200 mg   (lactose formulation);0.5;0.6;0.7;0.8;1;0.718;0.147798661849302;0.703030924840494;0.209655388654357
Raltegravir 400mg (lactose formulation);0.5;0.6;0.7;0.8;1;0.717;0.147405165541384;0.702088722501398;0.2093823763443
Raltegravir 800 mg  (lactose formulation);0.5;0.6;0.7;0.8;1;0.719;0.147501070018375;0.70425318881047;0.207356998097704
Raltegravir 1200 mg   (lactose formulation);0.5;0.6;0.7;0.825;1;0.7315;0.148162993784793;0.716921403771559;0.204274111985985
Raltegravir 1600 mg  (lactose formulation);0.5;0.65;0.75;0.85;1.025;0.748;0.154056266777218;0.73286146571794;0.205079661202758
Raltegravir 100 mg filmcoated tablet md;96.75;216.55;216.725;228.7;228.95;205.4525;40.0856654490723;199.588307582079;0.27574391500747
Raltegravir 200 mg filmcoated tablet md;96.75;216.5;216.95;228.7;228.9;202.3305;43.1394197938674;196.082257237744;0.279220101441792
Filmcoated_tablet_400mg_sd;0.5;0.6;0.7;0.825;1;0.729;0.151620872207255;0.713540193421443;0.21131982667189
Raltegravir 400 mg filmcoated tablet md;72.825;138.575;180.875;228.5;228.8;173.2895;51.686448947456;163.655511991444;0.378931735821187
Raltegravir 400mg chewable fasted;0.5;0.6;0.7;0.8;1;0.720500000000001;0.150604002790649;0.705044471187642;0.212665024299665
Raltegravir 400mg chewable fed;1.475;2.125;2.5;3.125;4;2.651;0.820568292850951;2.52595836716635;0.327093831477332
Raltegravir 400mg (granules in suspension);0.5;0.6;0.7;0.8;1;0.721;0.151953608018694;0.705344422045364;0.213768620841227
