Percentile of AUC_{last} of Raltegravir.;;;;;;;;;
;;;;;;;;;
AUC_{last} [µg*h/l];;;;;;;;;
;5^{th} prctl.;25^{th} prctl.;50^{th} prctl.;75^{th} prctl.;95^{th} prctl.;arith. mean;std;geo. mean;geo. CV
Raltegravir 10 mg   (lactose formulation);171.219688019791;223.408127310576;266.749214653616;318.311593306721;415.005520028032;278.588275015233;74.2431155197213;268.892640129234;0.274713100816942
Raltegravir 25 mg  (lactose formulation);429.344438174217;561.056866017157;669.141768832523;797.24170400846;1038.54845358676;698.358729890147;185.715171652831;674.147829283015;0.274159968742193
Raltegravir 50 mg  (lactose formulation);926.497717933596;1223.7665947102;1415.52815013901;1712.35310379258;2240.12554772775;1504.8281231009;402.790902303067;1452.1257031792;0.275570014518027
Raltegravir 100 mg  (lactose formulation);1876.2163634783;2463.64419296279;2869.68596564926;3475.27145617098;4516.89993757647;3041.19580616627;809.732198067515;2935.72637363505;0.274149905935816
Raltegravir 200 mg   (lactose formulation);3852.45429442428;5072.741878382;5923.36359785586;7188.85433292226;9208.31678425411;6236.17421539917;1646.86741096792;6023.349272532;0.271774502684781
Raltegravir 400mg (lactose formulation);7889.57880423739;10499.373404325;12102.0328614586;14717.203586094;18719.5142251224;12732.3721148672;3327.12658563856;12306.4914094149;0.268877947149263
Raltegravir 800 mg  (lactose formulation);16255.2446294753;21806.5318306284;24951.0465013476;30263.5542605078;38306.8940346098;26132.7851303677;6753.34437187877;25277.3026967133;0.265781888536797
Raltegravir 1200 mg   (lactose formulation);24926.8348427992;33224.1291672237;38227.5104381378;46256.0929857624;58538.4417827445;39959.6504728233;10274.7688548018;38665.0613723988;0.264247487866969
Raltegravir 1600 mg  (lactose formulation);33678.9010917035;44392.2972317828;51681.0278273726;62260.2284371208;78819.1134016703;53835.9726322152;13815.8575432831;52099.7504200779;0.263528478112679
Raltegravir 100 mg filmcoated tablet md;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Raltegravir 200 mg filmcoated tablet md;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Filmcoated_tablet_400mg_sd;6298.92176816384;8188.94509919077;9637.50736224784;11718.0097359527;14928.8458494727;10129.7002940469;2672.29203826217;9784.55824626375;0.271478608800812
Raltegravir 400 mg filmcoated tablet md;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Raltegravir 400mg chewable fasted;10666.5633474802;13926.6044718441;16292.8942172136;19869.1499736472;25120.4723047478;17106.9608373132;4486.52017933727;16531.3514442019;0.269525488762831
Raltegravir 400mg chewable fed;10054.808214686;13089.8873542329;15335.3612322572;18566.6149658483;24149.8502373504;16286.9657509643;4378.42537000586;15713.8587797502;0.275850103286918
Raltegravir 400mg (granules in suspension);13638.942066596;17861.6661470326;20887.7230788639;25441.7308158672;32111.8167267582;21866.1284681884;5726.56268758573;21132.8442621787;0.268967975939112
