Percentile of AUC_{last} norm of Raltegravir.;;;;;;;;;
;;;;;;;;;
AUC_{last} norm [kg*h/l];;;;;;;;;
;5^{th} prctl.;25^{th} prctl.;50^{th} prctl.;75^{th} prctl.;95^{th} prctl.;arith. mean;std;geo. mean;geo. CV
Raltegravir 10 mg   (lactose formulation);1.1116544244535;1.46528962978332;1.72104628104708;2.10043478206513;2.83210342476425;1.82439375588953;0.555460449567935;1.74834999594419;0.297038070501582
Raltegravir 25 mg  (lactose formulation);1.11639888107232;1.4720059827421;1.72713385253889;2.10231767215966;2.83571003873355;1.82922809354682;0.555897054988564;1.7533337528707;0.296241583054437
Raltegravir 50 mg  (lactose formulation);1.21214942827265;1.58624847224646;1.86230123462518;2.24130572014546;3.09570394042629;1.97246708932002;0.613284059580106;1.88835511901227;0.299385239141822
Raltegravir 100 mg  (lactose formulation);1.22934503144002;1.60937614420194;1.87752285772112;2.26596660182241;3.11719615090142;1.99287461716156;0.617078563293588;1.90882026037279;0.297432327754662
Raltegravir 200 mg   (lactose formulation);1.26143167640004;1.65984908530951;1.92399397297835;2.33232063207261;3.19218267645812;2.04290609515718;0.628918028064676;1.95820210459098;0.294320042040593
Raltegravir 400mg (lactose formulation);1.28995186807431;1.70191399781548;1.9731454030572;2.36298316666615;3.25464675938668;2.08493103984408;0.636011926454649;2.00043167743424;0.290397765767952
Raltegravir 800 mg  (lactose formulation);1.32948099402481;1.74660938250561;2.03894000195774;2.41702894312624;3.3417041477346;2.13902353313038;0.645871474960491;2.05442458586998;0.286298249492635
Raltegravir 1200 mg   (lactose formulation);1.3620575829584;1.78419241633655;2.07820363250539;2.4601151708237;3.41733808495706;2.18027722214225;0.655105878175511;2.09501395120391;0.284451779600111
Raltegravir 1600 mg  (lactose formulation);1.38339592769792;1.80418786782748;2.09819261196071;2.48350896262192;3.46046390175732;2.20297081429944;0.660159167584911;2.11721577782534;0.283791808299493
Raltegravir 100 mg filmcoated tablet md;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Raltegravir 200 mg filmcoated tablet md;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Filmcoated_tablet_400mg_sd;1.0264563101229;1.35533204948126;1.56441444732787;1.89425134876034;2.58652304312953;1.65899501584072;0.508408126645349;1.59048908534175;0.294081650958078
Raltegravir 400 mg filmcoated tablet md;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Raltegravir 400mg chewable fasted;1.73871654445137;2.27262332756716;2.65526437622274;3.17905197421328;4.37197909545307;2.80117869650899;0.854497144844745;2.68718662367731;0.2913553149512
Raltegravir 400mg chewable fed;1.65337363161863;2.12302329406672;2.53679671444459;3.04355211292768;4.18783477197345;2.66798904281753;0.827815702703432;2.55430242722892;0.299675772096141
Raltegravir 400mg (granules in suspension);2.22958362032496;2.90720948417551;3.40189963585312;4.06385896418155;5.59334196363331;3.58015151444678;1.09054621236296;3.43516358074284;0.290460062422365
