Percentile of AUC_{inf} of Raltegravir.;;;;;;;;;
;;;;;;;;;
AUC_{inf} [µg*h/l];;;;;;;;;
;5^{th} prctl.;25^{th} prctl.;50^{th} prctl.;75^{th} prctl.;95^{th} prctl.;arith. mean;std;geo. mean;geo. CV
Raltegravir 10 mg   (lactose formulation);181.046466236386;243.60110093384;276.136387000613;334.517044223445;436.003358261337;293.966495127729;78.5101005037894;283.694121906279;0.275470330824189
Raltegravir 25 mg  (lactose formulation);454.599119234565;611.701085523328;692.51824658921;836.857569578406;1091.94032256304;736.855188679195;196.372297654857;711.205538311372;0.274921258552714
Raltegravir 50 mg  (lactose formulation);940.624333291204;1238.3403414452;1439.5146167581;1743.67421013982;2276.6212880438;1530.36275714657;408.452198548007;1477.16908496116;0.274307936566741
Raltegravir 100 mg  (lactose formulation);1902.61149807628;2498.14250698969;2918.12551644643;3533.83867545686;4579.49169569848;3089.14458959857;820.636988455602;2982.67989438131;0.27309519811928
Raltegravir 200 mg   (lactose formulation);3873.22004597458;5103.85490549992;5961.36252010851;7239.04448477716;9252.74307341268;6269.73430376605;1655.51513832506;6055.96943546514;0.271581231818825
Raltegravir 400mg (lactose formulation);7931.10767225414;10577.0921554822;12177.4131740661;14811.1568532449;18809.0775725815;12799.5913630134;3344.57487219035;12371.7834159239;0.268720434258378
Raltegravir 800 mg  (lactose formulation);16326.3909349355;21899.1473997897;25041.0236363846;30443.7867655507;38490.239747038;26249.17269348;6783.45738957044;25390.3380513842;0.265669043713956
Raltegravir 1200 mg   (lactose formulation);24948.030339463;33250.2419363086;38256.4392029074;46311.092605975;58606.6666395412;39993.6854795005;10283.8731241789;38698.0587637139;0.264232122425422
Raltegravir 1600 mg  (lactose formulation);33707.1768565752;44430.7342737921;51722.1471278736;62333.6153939246;78902.4009667819;53881.345321712;13828.0021480416;52143.7396435341;0.263513853258733
Raltegravir 100 mg filmcoated tablet md;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Raltegravir 200 mg filmcoated tablet md;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Filmcoated_tablet_400mg_sd;6561.32214955718;8838.6033108952;10126.5422434807;12248.260879328;15521.2915266655;10623.4650594723;2747.70861043678;10273.8750791306;0.266874793637082
Raltegravir 400 mg filmcoated tablet md;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Raltegravir 400mg chewable fasted;10973.8904764526;14891.941132381;16964.2334181788;20542.5069865;26161.4561788418;17871.2514273356;4668.56214287415;17270.9266301933;0.269836429759707
Raltegravir 400mg chewable fed;10311.9645391019;14209.8779043167;15979.2602362074;19151.0929568792;24983.6847171542;17328.4761020134;5632.31924572349;16596.7847784867;0.294703688262516
Raltegravir 400mg (granules in suspension);14022.9673849989;18927.2841346308;21645.6934126134;26202.090105897;33357.0788787561;22927.3112875464;6293.38429669887;22113.3280004333;0.27565727397517
