Percentile of AUC_{inf} norm of Raltegravir.;;;;;;;;;
;;;;;;;;;
AUC_{inf} norm [kg*h/l];;;;;;;;;
;5^{th} prctl.;25^{th} prctl.;50^{th} prctl.;75^{th} prctl.;95^{th} prctl.;arith. mean;std;geo. mean;geo. CV
Raltegravir 10 mg   (lactose formulation);1.17561990456645;1.52705951461036;1.81505329773257;2.20439494267161;3.02721610029301;1.92657940001797;0.597479869015197;1.8445897836618;0.299247739106336
Raltegravir 25 mg  (lactose formulation);1.18035762904479;1.53743116003648;1.82176076485508;2.20629369997755;3.03129956473831;1.93153854619373;0.597940828757211;1.84971399652226;0.298440970380406
Raltegravir 50 mg  (lactose formulation);1.24091911085711;1.61836724857977;1.89159031007117;2.27239561646931;3.14024744960513;2.00585063098498;0.622587601590656;1.92092171988009;0.297961862745938
Raltegravir 100 mg  (lactose formulation);1.25140816616165;1.63818005450922;1.90584018121936;2.30350259805988;3.16118137563478;2.02422916408189;0.626076646859368;1.93934961505012;0.29623669088149
Raltegravir 200 mg   (lactose formulation);1.26915925605198;1.66915024350781;1.93487892642511;2.34332462076833;3.20906533237432;2.05393063793716;0.632671603144492;1.96880698051923;0.294151203610194
Raltegravir 400mg (lactose formulation);1.29767449593278;1.71371064997644;1.9826858833775;2.37572014024491;3.27153232424046;2.09595718756816;0.639776148790649;2.01104495409926;0.290230635174123
Raltegravir 800 mg  (lactose formulation);1.33802536051504;1.75698200262138;2.0475323875002;2.42803204820552;3.36012385078516;2.14854166831765;0.649091890572171;2.06361158712935;0.286112171329571
Raltegravir 1200 mg   (lactose formulation);1.36377465271598;1.78603838014553;2.07993914023048;2.46231037824456;3.42097641359565;2.1821439111288;0.655776312937055;2.09680187013393;0.284446955713634
Raltegravir 1600 mg  (lactose formulation);1.38511023541819;1.80547184111777;2.09971727667314;2.48554541210071;3.464106232423;2.20483605422184;0.660828552697708;2.11900340016913;0.283784609932383
Raltegravir 100 mg filmcoated tablet md;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Raltegravir 200 mg filmcoated tablet md;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Filmcoated_tablet_400mg_sd;1.09781739532865;1.41877860736599;1.65925930193987;1.96998395026744;2.70491438084006;1.73846047597;0.522022116766026;1.67002799372792;0.285931044109931
Raltegravir 400 mg filmcoated tablet md;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Raltegravir 400mg chewable fasted;1.82578719920024;2.39618965457178;2.77959927137843;3.30154869346923;4.51078379981137;2.91840473577833;0.860111947452145;2.80740526119816;0.281087881179343
Raltegravir 400mg chewable fed;1.74989196297886;2.22610298840866;2.65966730689287;3.18261142569463;4.59454157576376;2.81945989689243;0.894427933060951;2.69782287330437;0.299320237100516
Raltegravir 400mg (granules in suspension);2.32578444530971;3.05215252112176;3.53796100726953;4.23159068581061;5.75774336053034;3.73873431481458;1.10910546176625;3.59454212853209;0.283109419166803
