Time profiles of Raltegravir for Raltegravir 200 mg filmcoated tablet md for total simulation time range.;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
0;0;0;0
0.05;1.38;6.31;23.6
0.1;20.6;65.2;222
0.15;69.3;194;582
0.2;148;383;1.04e+03
0.25;253;596;1.51e+03
0.3;378;814;1.9e+03
0.35;504;1.05e+03;2.23e+03
0.4;626;1.28e+03;2.45e+03
0.45;735;1.48e+03;2.56e+03
0.5;835;1.59e+03;2.63e+03
0.55;924;1.68e+03;2.61e+03
0.6;1e+03;1.77e+03;2.56e+03
0.65;1.07e+03;1.84e+03;2.56e+03
0.7;1.13e+03;1.85e+03;2.55e+03
0.75;1.15e+03;1.88e+03;2.52e+03
0.8;1.17e+03;1.86e+03;2.41e+03
0.85;1.18e+03;1.82e+03;2.36e+03
0.9;1.18e+03;1.76e+03;2.34e+03
0.95;1.15e+03;1.72e+03;2.28e+03
1;1.13e+03;1.68e+03;2.22e+03
1.05;1.1e+03;1.62e+03;2.15e+03
1.1;1.07e+03;1.56e+03;2.08e+03
1.15;1.03e+03;1.51e+03;2.03e+03
1.2;994;1.46e+03;1.99e+03
1.25;959;1.4e+03;1.96e+03
1.3;926;1.36e+03;1.92e+03
1.35;892;1.32e+03;1.88e+03
1.4;860;1.28e+03;1.84e+03
1.45;829;1.23e+03;1.81e+03
1.5;799;1.19e+03;1.76e+03
1.55;770;1.14e+03;1.72e+03
1.6;743;1.11e+03;1.67e+03
1.65;717;1.07e+03;1.63e+03
1.7;692;1.03e+03;1.58e+03
1.75;666;1e+03;1.54e+03
1.8;640;968;1.5e+03
1.85;616;937;1.46e+03
1.9;593;906;1.42e+03
1.95;573;877;1.38e+03
2;554;852;1.35e+03
2.25;465;738;1.2e+03
2.5;396;634;1.06e+03
2.75;341;553;949
3;293;486;843
3.25;253;429;766
3.5;221;383;700
3.75;194;344;645
4;171;310;584
4.25;152;278;530
4.5;136;251;487
4.75;123;226;454
5;111;207;425
5.25;101;190;396
5.5;92.4;176;365
5.75;84.8;165;340
6;78.8;154;317
6.25;73.6;143;296
6.5;69;132;276
6.75;64.8;125;259
7;61.1;119;243
7.25;57.8;112;229
7.5;54.7;105;215
7.75;52;99.1;203
8;49.5;93.9;192
8.25;47;89.5;182
8.5;44.5;85.2;172
8.75;42.1;81.2;164
9;40;77.5;156
9.25;38;73.9;148
9.5;36.1;70.4;142
9.75;34.4;67.5;135
10;32.9;64.8;129
10.3;31.4;62.3;124
10.5;30.1;59.9;120
10.8;28.8;57.6;116
11;27.7;56.1;112
11.3;26.6;54;108
11.5;25.6;52.2;105
11.8;24.6;50.6;101
12;23.8;49.1;97.5
12.3;272;638;1.61e+03
12.5;854;1.66e+03;2.69e+03
12.8;1.18e+03;1.92e+03;2.55e+03
13;1.18e+03;1.72e+03;2.28e+03
13.3;996;1.47e+03;2.03e+03
13.5;850;1.23e+03;1.83e+03
13.8;698;1.04e+03;1.6e+03
14;585;902;1.42e+03
14.3;495;778;1.26e+03
14.5;420;674;1.13e+03
14.8;358;589;1e+03
15;308;520;906
15.3;268;465;823
15.5;235;418;760
15.8;208;378;692
16;185;341;630
16.3;166;309;576
16.5;150;280;537
16.8;136;258;503
17;125;239;475
17.3;116;220;445
17.5;108;205;415
17.8;101;191;388
18;94.4;177;364
18.3;88.9;166;342
18.5;84;155;322
18.8;79.6;148;303
19;75.6;141;286
19.3;72;134;271
19.5;68.7;128;256
19.8;65.1;122;243
20;61.9;117;231
20.3;58.9;112;220
20.5;56.2;107;210
20.8;53.7;103;200
21;51.4;98;191
21.3;49.3;93.7;183
21.5;47.3;90;176
21.8;45.5;86.6;169
22;43.8;83.5;162
22.3;42.3;80.5;156
22.5;40.8;77.8;150
22.8;39.4;75.3;145
23;38.1;73;140
23.3;37;70.9;135
23.5;35.8;68.8;130
23.8;34.8;66.9;126
24;33.8;65.1;123
24.3;282;654;1.62e+03
24.5;867;1.67e+03;2.71e+03
24.8;1.19e+03;1.94e+03;2.57e+03
25;1.19e+03;1.73e+03;2.3e+03
25.3;1.01e+03;1.49e+03;2.05e+03
25.5;862;1.24e+03;1.85e+03
25.8;708;1.05e+03;1.63e+03
26;594;916;1.45e+03
26.3;504;795;1.28e+03
26.5;429;687;1.15e+03
26.8;366;603;1.02e+03
27;317;533;928
27.3;276;477;844
27.5;243;430;781
27.8;216;390;711
28;193;352;649
28.3;174;320;594
28.5;158;292;555
28.8;144;270;521
29;133;250;493
29.3;123;231;463
29.5;115;215;433
29.8;108;201;406
30;102;187;381
30.3;95.9;176;359
