Time profiles of Raltegravir for Raltegravir 200 mg filmcoated tablet md for first application range.;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
0;0;0;0
0.05;1.38;6.31;23.6
0.1;20.6;65.2;222
0.15;69.3;194;582
0.2;148;383;1.04e+03
0.25;253;596;1.51e+03
0.3;378;814;1.9e+03
0.35;504;1.05e+03;2.23e+03
0.4;626;1.28e+03;2.45e+03
0.45;735;1.48e+03;2.56e+03
0.5;835;1.59e+03;2.63e+03
0.55;924;1.68e+03;2.61e+03
0.6;1e+03;1.77e+03;2.56e+03
0.65;1.07e+03;1.84e+03;2.56e+03
0.7;1.13e+03;1.85e+03;2.55e+03
0.75;1.15e+03;1.88e+03;2.52e+03
0.8;1.17e+03;1.86e+03;2.41e+03
0.85;1.18e+03;1.82e+03;2.36e+03
0.9;1.18e+03;1.76e+03;2.34e+03
0.95;1.15e+03;1.72e+03;2.28e+03
1;1.13e+03;1.68e+03;2.22e+03
1.05;1.1e+03;1.62e+03;2.15e+03
1.1;1.07e+03;1.56e+03;2.08e+03
1.15;1.03e+03;1.51e+03;2.03e+03
1.2;994;1.46e+03;1.99e+03
1.25;959;1.4e+03;1.96e+03
1.3;926;1.36e+03;1.92e+03
1.35;892;1.32e+03;1.88e+03
1.4;860;1.28e+03;1.84e+03
1.45;829;1.23e+03;1.81e+03
1.5;799;1.19e+03;1.76e+03
1.55;770;1.14e+03;1.72e+03
1.6;743;1.11e+03;1.67e+03
1.65;717;1.07e+03;1.63e+03
1.7;692;1.03e+03;1.58e+03
1.75;666;1e+03;1.54e+03
1.8;640;968;1.5e+03
1.85;616;937;1.46e+03
1.9;593;906;1.42e+03
1.95;573;877;1.38e+03
2;554;852;1.35e+03
2.25;465;738;1.2e+03
2.5;396;634;1.06e+03
2.75;341;553;949
3;293;486;843
3.25;253;429;766
3.5;221;383;700
3.75;194;344;645
4;171;310;584
4.25;152;278;530
4.5;136;251;487
4.75;123;226;454
5;111;207;425
5.25;101;190;396
5.5;92.4;176;365
5.75;84.8;165;340
6;78.8;154;317
6.25;73.6;143;296
6.5;69;132;276
6.75;64.8;125;259
7;61.1;119;243
7.25;57.8;112;229
7.5;54.7;105;215
7.75;52;99.1;203
8;49.5;93.9;192
8.25;47;89.5;182
8.5;44.5;85.2;172
8.75;42.1;81.2;164
9;40;77.5;156
9.25;38;73.9;148
9.5;36.1;70.4;142
9.75;34.4;67.5;135
10;32.9;64.8;129
10.3;31.4;62.3;124
10.5;30.1;59.9;120
10.8;28.8;57.6;116
11;27.7;56.1;112
11.3;26.6;54;108
11.5;25.6;52.2;105
11.8;24.6;50.6;101
12;23.8;49.1;97.5
