Time profiles of Raltegravir for Raltegravir 200 mg filmcoated tablet md for last application range.;;;
;;;
Raltegravir [µg/l];;;
Time after dose [h];5^{th} percentile;median;95^{th} percentile
0;44.8;77.1;141
0.05;48.6;86.9;152
0.1;69.2;157;307
0.15;121;277;696
0.2;196;456;1.18e+03
0.25;293;668;1.64e+03
0.3;406;909;2.02e+03
0.35;527;1.13e+03;2.36e+03
0.4;651;1.36e+03;2.56e+03
0.45;773;1.55e+03;2.68e+03
0.5;877;1.68e+03;2.72e+03
0.55;966;1.79e+03;2.69e+03
0.6;1.04e+03;1.89e+03;2.65e+03
0.65;1.12e+03;1.92e+03;2.65e+03
0.7;1.17e+03;1.95e+03;2.64e+03
0.75;1.2e+03;1.95e+03;2.59e+03
0.8;1.22e+03;1.92e+03;2.5e+03
0.85;1.23e+03;1.88e+03;2.46e+03
0.9;1.22e+03;1.85e+03;2.45e+03
0.95;1.21e+03;1.79e+03;2.39e+03
1;1.2e+03;1.74e+03;2.32e+03
1.05;1.17e+03;1.7e+03;2.25e+03
1.1;1.14e+03;1.64e+03;2.2e+03
1.15;1.09e+03;1.59e+03;2.15e+03
1.2;1.05e+03;1.55e+03;2.1e+03
1.25;1.01e+03;1.5e+03;2.06e+03
1.3;989;1.45e+03;2.02e+03
1.35;963;1.4e+03;1.99e+03
1.4;937;1.35e+03;1.95e+03
1.45;906;1.3e+03;1.92e+03
1.5;870;1.25e+03;1.87e+03
1.55;836;1.21e+03;1.82e+03
1.6;804;1.17e+03;1.78e+03
1.65;773;1.13e+03;1.73e+03
1.7;743;1.1e+03;1.69e+03
1.75;716;1.06e+03;1.65e+03
1.8;691;1.03e+03;1.6e+03
1.85;667;1e+03;1.56e+03
1.9;645;977;1.53e+03
1.95;623;951;1.5e+03
2;602;926;1.47e+03
2.05;582;900;1.43e+03
2.1;563;876;1.4e+03
2.15;545;853;1.36e+03
2.2;528;829;1.33e+03
2.25;512;805;1.3e+03
2.3;496;782;1.27e+03
2.35;482;759;1.24e+03
2.4;467;738;1.22e+03
2.45;453;717;1.19e+03
2.5;438;697;1.17e+03
2.55;424;678;1.14e+03
2.6;411;659;1.12e+03
2.65;399;643;1.09e+03
2.7;387;628;1.07e+03
2.75;375;612;1.04e+03
2.8;365;598;1.02e+03
2.85;354;585;997
2.9;344;570;979
2.95;335;555;961
3;325;542;944
3.05;317;529;928
3.1;308;518;912
3.15;300;508;895
3.2;293;497;878
3.25;285;487;862
3.3;278;477;849
3.35;271;467;836
3.4;264;457;824
3.45;258;448;811
3.5;252;439;799
3.55;246;431;784
3.6;240;422;769
3.65;235;414;755
3.7;230;406;741
3.75;225;398;727
3.8;220;390;714
3.85;215;382;701
3.9;210;375;689
3.95;206;367;677
4;202;360;665
4.05;198;354;653
4.1;194;347;642
4.15;190;341;631
4.2;186;335;620
4.25;182;330;610
4.3;179;325;599
4.35;175;319;591
4.4;172;313;583
4.45;169;307;575
4.5;166;302;568
4.55;163;297;561
4.6;160;292;553
4.65;157;287;546
4.7;155;283;540
4.75;152;278;533
4.8;149;274;527
4.85;147;270;522
4.9;144;266;516
4.95;142;262;510
5;140;258;505
5.05;138;254;499
5.1;136;250;494
5.15;133;247;488
5.2;131;243;482
5.25;129;239;475
5.3;127;236;469
5.35;126;232;463
5.4;124;229;457
5.45;122;226;451
5.5;121;222;445
5.55;119;219;440
5.6;118;216;434
5.65;116;214;429
5.7;115;211;423
5.75;114;209;418
5.8;112;206;413
5.85;111;203;408
5.9;110;200;403
5.95;108;198;398
6;107;195;393
6.05;106;192;389
