Time profiles of Raltegravir for Filmcoated_tablet_400mg_sd.;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
0;0;0;0
0.05;2.76;12.6;47.4
0.1;41.4;131;449
0.15;140;391;1.17e+03
0.2;303;778;2.11e+03
0.25;523;1.21e+03;3.08e+03
0.3;783;1.67e+03;3.88e+03
0.35;1.04e+03;2.15e+03;4.58e+03
0.4;1.28e+03;2.63e+03;5.04e+03
0.45;1.51e+03;3.04e+03;5.28e+03
0.5;1.71e+03;3.26e+03;5.34e+03
0.55;1.89e+03;3.5e+03;5.28e+03
0.6;2.05e+03;3.67e+03;5.18e+03
0.65;2.2e+03;3.78e+03;5.2e+03
0.7;2.3e+03;3.81e+03;5.19e+03
0.75;2.38e+03;3.84e+03;5.13e+03
0.8;2.39e+03;3.8e+03;4.95e+03
0.85;2.41e+03;3.71e+03;4.82e+03
0.9;2.41e+03;3.59e+03;4.75e+03
0.95;2.38e+03;3.52e+03;4.64e+03
1;2.32e+03;3.44e+03;4.51e+03
1.05;2.25e+03;3.32e+03;4.37e+03
1.1;2.18e+03;3.18e+03;4.23e+03
1.15;2.1e+03;3.08e+03;4.12e+03
1.2;2.04e+03;2.97e+03;4.05e+03
1.25;1.97e+03;2.86e+03;3.97e+03
1.3;1.88e+03;2.75e+03;3.91e+03
1.35;1.82e+03;2.68e+03;3.84e+03
1.4;1.75e+03;2.61e+03;3.77e+03
1.45;1.68e+03;2.5e+03;3.68e+03
1.5;1.62e+03;2.4e+03;3.58e+03
1.55;1.56e+03;2.32e+03;3.49e+03
1.6;1.51e+03;2.24e+03;3.4e+03
1.65;1.45e+03;2.17e+03;3.31e+03
1.7;1.4e+03;2.1e+03;3.22e+03
1.75;1.34e+03;2.02e+03;3.13e+03
1.8;1.29e+03;1.96e+03;3.05e+03
1.85;1.24e+03;1.9e+03;2.97e+03
1.9;1.2e+03;1.83e+03;2.89e+03
1.95;1.15e+03;1.77e+03;2.81e+03
2;1.11e+03;1.72e+03;2.74e+03
2.25;943;1.48e+03;2.43e+03
2.5;799;1.29e+03;2.15e+03
2.75;686;1.12e+03;1.93e+03
3;595;991;1.71e+03
3.25;518;870;1.55e+03
3.5;453;774;1.42e+03
3.75;398;695;1.31e+03
4;351;625;1.18e+03
4.25;312;561;1.07e+03
4.5;279;506;978
4.75;251;455;893
5;227;410;818
5.25;207;372;756
5.5;189;342;707
5.75;173;315;667
6;159;293;631
6.25;147;276;598
6.5;137;260;561
6.75;127;246;526
7;119;229;494
7.25;113;217;464
7.5;108;209;437
7.75;103;198;412
8;98.8;188;390
8.25;95;179;369
8.5;89.9;172;350
8.75;85.1;164;332
9;80.7;156;316
9.25;76.7;150;301
9.5;72.9;143;287
9.75;69.5;137;274
10;66.3;132;262
10.3;63.4;127;251
10.5;60.7;122;241
10.8;58.1;117;231
11;55.8;113;222
11.3;53.6;110;214
11.5;51.5;106;206
11.8;49.6;102;199
12;47.9;98.6;192
12.3;46.2;95.1;185
12.5;44.7;92;179
12.8;43.2;89.6;173
13;41.9;87.3;167
13.3;40.6;84.4;164
13.5;39.4;82.2;161
13.8;38.3;80.1;158
14;37.3;78.1;156
14.3;36.3;76.2;155
14.5;35.4;74.3;153
14.8;34.5;72.5;150
15;33.7;70.8;147
15.3;32.9;69;143
15.5;32.2;67.2;138
15.8;31.5;65.4;134
16;30.9;63.7;129
16.3;30.3;61.9;125
16.5;29.7;60.1;121
16.8;29.2;58.6;117
17;28.7;57.4;115
17.3;28.2;56.1;113
17.5;27.7;54.7;111
17.8;27.3;53.4;109
18;26.7;52.2;107
18.3;26.3;51;105
18.5;25.8;49.9;103
18.8;25.3;48.8;101
19;24.9;47.8;98.4
19.3;24.5;46.8;96.8
19.5;24.1;45.7;95
19.8;23.8;44.7;92.8
20;23.4;43.7;90.7
20.3;23.1;42.8;88.7
20.5;22.7;42;86
20.8;22.4;41.1;83.3
21;22.1;40.3;81.7
21.3;21.8;39.7;80.2
21.5;21.5;39.2;78.8
21.8;21.2;38.6;77.3
22;21;38;75.9
22.3;20.7;37.4;74.5
22.5;20.4;36.7;73
22.8;20;36;71.3
23;19.7;35.2;69.6
23.3;19.4;34.6;67.9
23.5;19.1;33.9;66.2
23.8;18.8;33.3;64.5
24;18.6;32.3;62.8
