Time profiles of Raltegravir for Raltegravir 400 mg filmcoated tablet md for first application range.;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
0;0;0;0
0.05;2.76;12.6;47.4
0.1;41.4;131;449
0.15;140;391;1.17e+03
0.2;303;778;2.11e+03
0.25;523;1.21e+03;3.08e+03
0.3;783;1.67e+03;3.88e+03
0.35;1.04e+03;2.16e+03;4.58e+03
0.4;1.28e+03;2.63e+03;5.05e+03
0.45;1.51e+03;3.04e+03;5.28e+03
0.5;1.71e+03;3.26e+03;5.34e+03
0.55;1.89e+03;3.5e+03;5.28e+03
0.6;2.05e+03;3.67e+03;5.18e+03
0.65;2.2e+03;3.78e+03;5.2e+03
0.7;2.3e+03;3.82e+03;5.19e+03
0.75;2.38e+03;3.84e+03;5.13e+03
0.8;2.39e+03;3.8e+03;4.95e+03
0.85;2.41e+03;3.71e+03;4.82e+03
0.9;2.41e+03;3.59e+03;4.75e+03
0.95;2.38e+03;3.52e+03;4.64e+03
1;2.32e+03;3.44e+03;4.51e+03
1.05;2.25e+03;3.32e+03;4.37e+03
1.1;2.18e+03;3.18e+03;4.23e+03
1.15;2.1e+03;3.08e+03;4.12e+03
1.2;2.04e+03;2.97e+03;4.05e+03
1.25;1.97e+03;2.86e+03;3.97e+03
1.3;1.88e+03;2.75e+03;3.91e+03
1.35;1.82e+03;2.68e+03;3.84e+03
1.4;1.75e+03;2.61e+03;3.77e+03
1.45;1.68e+03;2.5e+03;3.68e+03
1.5;1.62e+03;2.4e+03;3.58e+03
1.55;1.56e+03;2.32e+03;3.49e+03
1.6;1.51e+03;2.24e+03;3.4e+03
1.65;1.45e+03;2.17e+03;3.31e+03
1.7;1.4e+03;2.1e+03;3.22e+03
1.75;1.34e+03;2.02e+03;3.13e+03
1.8;1.29e+03;1.96e+03;3.05e+03
1.85;1.24e+03;1.9e+03;2.97e+03
1.9;1.2e+03;1.83e+03;2.89e+03
1.95;1.15e+03;1.77e+03;2.81e+03
2;1.11e+03;1.72e+03;2.74e+03
2.25;943;1.48e+03;2.43e+03
2.5;799;1.29e+03;2.15e+03
2.75;686;1.12e+03;1.93e+03
3;595;991;1.71e+03
3.25;518;870;1.55e+03
3.5;453;774;1.42e+03
3.75;398;695;1.31e+03
4;351;625;1.18e+03
4.25;312;561;1.07e+03
4.5;279;506;978
4.75;251;455;893
5;227;410;818
5.25;207;372;756
5.5;189;342;707
5.75;173;315;667
6;159;293;631
6.25;147;276;598
6.5;137;260;561
6.75;127;246;526
7;119;229;494
7.25;113;217;464
7.5;108;209;437
7.75;103;198;412
8;98.8;188;390
8.25;95;179;369
8.5;89.9;172;350
8.75;85.1;164;332
9;80.7;156;316
9.05;79.9;154;313
9.1;79;153;310
9.15;78.2;152;307
9.2;77.4;151;304
9.25;76.7;150;301
9.3;75.9;148;298
9.35;75.1;147;295
9.4;74.4;146;293
9.45;73.7;144;290
9.5;72.9;143;287
9.55;72.2;142;285
9.6;71.5;140;282
9.65;70.9;139;279
9.7;70.2;138;277
9.75;69.5;137;274
9.8;68.9;136;272
9.85;68.2;134;270
9.9;67.6;134;267
9.95;67;133;265
10;66.3;132;262
10.1;65.7;131;260
10.1;65.1;130;258
10.2;64.5;129;256
10.2;64;128;254
10.3;63.4;127;251
10.3;62.8;126;249
10.3;62.3;125;247
10.4;61.7;124;245
10.4;61.2;123;243
10.5;60.7;122;241
10.6;60.1;121;239
10.6;59.6;120;237
10.7;59.1;119;235
10.7;58.6;118;233
10.8;58.1;117;231
10.8;57.7;116;230
10.8;57.2;116;228
10.9;56.7;115;226
10.9;56.2;114;224
11;55.8;113;222
11.1;55.3;112;221
11.1;54.9;111;219
11.2;54.4;111;217
11.2;54;110;216
11.3;53.6;110;214
11.3;53.2;109;212
11.3;52.8;108;211
11.4;52.3;108;209
11.4;51.9;107;208
11.5;51.6;106;206
11.6;51.2;105;205
11.6;50.8;104;203
11.7;50.4;104;202
11.7;50;103;200
11.8;49.6;102;199
11.8;49.3;101;197
11.8;48.9;101;196
11.9;48.6;100;194
11.9;48.2;99.3;193
12;47.9;98.6;192
