Time profiles of Raltegravir for Raltegravir 400mg chewable fasted.;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
0;0;0;0
0.05;5.04;23.1;86.5
0.1;75.3;239;817
0.15;257;710;2.11e+03
0.2;555;1.41e+03;3.8e+03
0.25;956;2.19e+03;5.51e+03
0.3;1.42e+03;3.01e+03;6.82e+03
0.35;1.89e+03;3.89e+03;8.08e+03
0.4;2.32e+03;4.74e+03;8.98e+03
0.45;2.72e+03;5.46e+03;9.46e+03
0.5;3.09e+03;5.88e+03;9.47e+03
0.55;3.41e+03;6.33e+03;9.3e+03
0.6;3.69e+03;6.56e+03;9.18e+03
0.65;3.95e+03;6.73e+03;9.23e+03
0.7;4.12e+03;6.87e+03;9.19e+03
0.75;4.24e+03;6.84e+03;9.05e+03
0.8;4.3e+03;6.74e+03;8.71e+03
0.85;4.31e+03;6.6e+03;8.52e+03
0.9;4.27e+03;6.39e+03;8.37e+03
0.95;4.23e+03;6.21e+03;8.17e+03
1;4.09e+03;6.01e+03;7.92e+03
1.05;3.96e+03;5.84e+03;7.67e+03
1.1;3.83e+03;5.62e+03;7.43e+03
1.15;3.7e+03;5.41e+03;7.25e+03
1.2;3.6e+03;5.19e+03;7.11e+03
1.25;3.46e+03;5.01e+03;6.99e+03
1.3;3.3e+03;4.85e+03;6.87e+03
1.35;3.16e+03;4.7e+03;6.74e+03
1.4;3.04e+03;4.5e+03;6.57e+03
1.45;2.93e+03;4.33e+03;6.4e+03
1.5;2.81e+03;4.16e+03;6.23e+03
1.55;2.71e+03;4.01e+03;6.06e+03
1.6;2.61e+03;3.87e+03;5.89e+03
1.65;2.5e+03;3.75e+03;5.73e+03
1.7;2.4e+03;3.63e+03;5.57e+03
1.75;2.3e+03;3.5e+03;5.42e+03
1.8;2.2e+03;3.38e+03;5.27e+03
1.85;2.12e+03;3.27e+03;5.13e+03
1.9;2.04e+03;3.17e+03;4.98e+03
1.95;1.96e+03;3.06e+03;4.83e+03
2;1.89e+03;2.96e+03;4.69e+03
2.25;1.62e+03;2.53e+03;4.13e+03
2.5;1.36e+03;2.18e+03;3.67e+03
2.75;1.16e+03;1.91e+03;3.29e+03
3;995;1.67e+03;2.92e+03
3.25;856;1.47e+03;2.62e+03
3.5;743;1.29e+03;2.39e+03
3.75;649;1.15e+03;2.18e+03
4;572;1.03e+03;1.97e+03
4.25;508;918;1.78e+03
4.5;453;824;1.62e+03
4.75;406;740;1.48e+03
5;365;664;1.35e+03
5.25;330;598;1.24e+03
5.5;299;544;1.15e+03
5.75;273;499;1.07e+03
6;250;461;991
6.25;230;429;922
6.5;212;402;868
6.75;197;380;822
7;183;356;781
7.25;170;333;743
7.5;159;311;709
7.75;149;295;672
8;140;281;634
8.25;134;267;599
8.5;128;258;566
8.75;123;248;536
9;118;235;509
9.25;113;224;483
9.5;107;215;460
9.75;102;208;438
10;96.5;201;417
10.3;91.9;192;398
10.5;87.6;184;380
10.8;83.6;176;364
11;79.9;170;348
11.3;76.4;164;334
11.5;73.2;157;320
11.8;70.2;152;307
12;67.4;150;295
12.3;64.8;146;284
12.5;62.4;141;276
12.8;60.2;136;268
13;58;131;260
13.3;56.1;127;253
13.5;54.2;123;245
13.8;52.5;118;238
14;50.9;114;234
14.3;49.3;110;230
14.5;47.9;106;226
14.8;46.6;103;222
15;45.3;99.7;218
15.3;44.1;96.4;212
15.5;43;93;208
15.8;42;89.9;203
16;41;87.3;195
16.3;40.1;85;188
16.5;39.2;83.1;182
16.8;38.4;81.3;175
17;37.6;79.1;171
17.3;36.8;77;168
17.5;36.1;74.7;166
17.8;35.4;72.6;164
18;34.8;70.6;162
18.3;34.2;69;158
18.5;33.6;67.3;155
18.8;33.1;65.2;151
19;32.4;63.5;148
19.3;31.8;62.1;144
19.5;31.2;60.4;141
19.8;30.7;58.9;138
20;30.1;57.4;135
20.3;29.6;56.2;133
20.5;29.1;55;132
20.8;28.7;53.8;131
21;28.2;52.5;130
21.3;27.8;51.4;129
21.5;27.4;50.5;128
21.8;26.9;49.6;126
22;26.6;48.5;125
22.3;26.1;47.6;124
22.5;25.7;46.7;122
22.8;25.2;45.8;120
23;24.8;44.9;118
23.3;24.4;43.9;116
23.5;24;43;112
23.8;23.6;42.1;108
24;23.2;41.2;105
