Time profiles of Raltegravir for Raltegravir 400mg chewable fed.;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
0;0;0;0
0.05;0.0134;0.468;5.76
0.1;0.429;8.35;62.8
0.15;2.32;32.9;173
0.2;6.69;74.3;336
0.25;14.2;128;529
0.3;25.4;195;746
0.35;40.6;266;952
0.4;59.5;344;1.15e+03
0.45;82.4;423;1.36e+03
0.5;107;516;1.56e+03
0.55;134;615;1.75e+03
0.6;162;702;1.93e+03
0.65;189;803;2.1e+03
0.7;218;887;2.29e+03
0.75;248;986;2.47e+03
0.8;279;1.07e+03;2.64e+03
0.85;311;1.17e+03;2.79e+03
0.9;344;1.28e+03;2.93e+03
0.95;377;1.37e+03;3.06e+03
1;411;1.47e+03;3.18e+03
1.05;459;1.57e+03;3.29e+03
1.1;510;1.65e+03;3.38e+03
1.15;558;1.75e+03;3.46e+03
1.2;590;1.83e+03;3.54e+03
1.25;621;1.89e+03;3.61e+03
1.3;653;1.97e+03;3.67e+03
1.35;683;2.03e+03;3.73e+03
1.4;713;2.08e+03;3.77e+03
1.45;743;2.12e+03;3.81e+03
1.5;775;2.16e+03;3.83e+03
1.55;822;2.19e+03;3.85e+03
1.6;869;2.28e+03;3.86e+03
1.65;916;2.34e+03;3.88e+03
1.7;944;2.37e+03;3.95e+03
1.75;968;2.39e+03;3.95e+03
1.8;992;2.41e+03;3.95e+03
1.85;1.02e+03;2.42e+03;4e+03
1.9;1.04e+03;2.44e+03;4.02e+03
1.95;1.06e+03;2.47e+03;4.02e+03
2;1.09e+03;2.46e+03;4.01e+03
2.25;1.17e+03;2.45e+03;4.23e+03
2.5;1.28e+03;2.45e+03;4.35e+03
2.75;1.34e+03;2.47e+03;4.34e+03
3;1.35e+03;2.44e+03;4.39e+03
3.25;1.35e+03;2.36e+03;4.26e+03
3.5;1.31e+03;2.27e+03;4.03e+03
3.75;1.23e+03;2.1e+03;3.9e+03
4;1.16e+03;2.01e+03;3.73e+03
4.25;1.07e+03;1.95e+03;3.54e+03
4.5;954;1.86e+03;3.32e+03
4.75;854;1.77e+03;3.08e+03
5;757;1.62e+03;2.86e+03
5.25;676;1.49e+03;2.62e+03
5.5;607;1.38e+03;2.47e+03
5.75;550;1.27e+03;2.32e+03
6;504;1.17e+03;2.16e+03
6.25;464;1.09e+03;2.02e+03
6.5;422;1.01e+03;1.89e+03
6.75;382;926;1.77e+03
7;352;860;1.71e+03
7.25;327;797;1.62e+03
7.5;295;747;1.54e+03
7.75;270;703;1.46e+03
8;251;656;1.38e+03
8.25;235;610;1.31e+03
8.5;218;569;1.25e+03
8.75;201;522;1.18e+03
9;186;487;1.12e+03
9.25;174;458;1.06e+03
9.5;164;432;998
9.75;154;402;944
10;145;382;896
10.3;136;362;850
10.5;128;343;810
10.8;119;326;770
11;111;306;732
11.3;105;288;697
11.5;99.7;271;663
11.8;95.2;258;630
12;91;243;600
12.3;87.1;235;577
12.5;83.4;229;560
12.8;80;222;544
13;76.9;214;521
13.3;73.9;206;493
13.5;70.9;196;466
13.8;67.8;186;441
14;64.9;178;418
14.3;62.2;170;395
14.5;59.7;162;376
14.8;57.4;154;361
15;55.2;148;347
15.3;53.2;143;334
15.5;51.3;139;321
15.8;49.3;133;308
16;47.3;128;296
16.3;45.5;122;285
16.5;43.8;117;274
16.8;42.2;112;264
17;40.7;108;254
17.3;39.3;103;245
17.5;38;98.9;236
17.8;36.9;94.9;227
18;36;91.2;220
18.3;35.1;88;216
18.5;34.3;85.3;211
18.8;33.5;82.5;208
19;32.8;79.8;206
19.3;32.1;77.2;204
19.5;31.4;74.6;201
19.8;30.8;72.2;199
20;30.2;69.8;196
20.3;29.7;67.6;193
20.5;29.2;65.5;191
20.8;28.7;63.5;188
21;28.2;61.6;185
21.3;27.7;59.8;182
21.5;27.3;58.1;179
21.8;26.9;56.6;177
22;26.5;55.3;174
22.3;26.1;53.9;171
22.5;25.7;52.6;169
22.8;25.4;51.4;165
23;25;50.2;161
23.3;24.7;49.1;156
23.5;24.3;48;152
23.8;23.9;46.9;148
24;23.6;45.9;146
