Time profiles of Raltegravir for Raltegravir 400mg (granules in suspension).;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
0;0;0;0
0.1;96.7;307;1.04e+03
0.2;718;1.82e+03;4.9e+03
0.3;1.84e+03;3.9e+03;8.78e+03
0.4;3e+03;6.11e+03;1.15e+04
0.5;4e+03;7.62e+03;1.22e+04
0.6;4.77e+03;8.48e+03;1.18e+04
0.7;5.33e+03;8.88e+03;1.19e+04
0.8;5.57e+03;8.74e+03;1.12e+04
0.9;5.53e+03;8.26e+03;1.08e+04
1;5.3e+03;7.76e+03;1.02e+04
1.1;4.95e+03;7.28e+03;9.58e+03
1.2;4.68e+03;6.74e+03;9.17e+03
1.3;4.28e+03;6.26e+03;8.87e+03
1.4;3.93e+03;5.78e+03;8.47e+03
1.5;3.63e+03;5.34e+03;8.02e+03
1.6;3.36e+03;5e+03;7.59e+03
1.7;3.08e+03;4.68e+03;7.17e+03
1.8;2.83e+03;4.34e+03;6.78e+03
1.9;2.62e+03;4.06e+03;6.39e+03
2;2.43e+03;3.81e+03;6.02e+03
2.1;2.27e+03;3.58e+03;5.7e+03
2.2;2.14e+03;3.36e+03;5.43e+03
2.3;2.01e+03;3.16e+03;5.17e+03
2.4;1.87e+03;2.97e+03;4.93e+03
2.5;1.75e+03;2.8e+03;4.7e+03
2.6;1.63e+03;2.66e+03;4.49e+03
2.7;1.53e+03;2.53e+03;4.29e+03
2.8;1.44e+03;2.39e+03;4.11e+03
2.9;1.35e+03;2.26e+03;3.92e+03
3;1.27e+03;2.14e+03;3.73e+03
3.1;1.19e+03;2.04e+03;3.56e+03
3.2;1.12e+03;1.94e+03;3.42e+03
3.3;1.06e+03;1.84e+03;3.3e+03
3.4;996;1.74e+03;3.17e+03
3.5;941;1.66e+03;3.06e+03
3.6;889;1.58e+03;2.95e+03
3.7;842;1.51e+03;2.84e+03
3.8;798;1.43e+03;2.74e+03
3.9;757;1.36e+03;2.63e+03
4;720;1.3e+03;2.52e+03
4.1;685;1.24e+03;2.42e+03
4.2;652;1.19e+03;2.33e+03
4.3;622;1.14e+03;2.24e+03
4.4;594;1.09e+03;2.15e+03
4.5;568;1.04e+03;2.07e+03
4.6;543;999;2e+03
4.7;520;956;1.92e+03
4.8;499;914;1.86e+03
4.9;479;874;1.79e+03
5;460;837;1.73e+03
5.1;443;802;1.67e+03
5.2;427;769;1.61e+03
5.3;410;738;1.56e+03
5.4;394;710;1.51e+03
5.5;379;684;1.47e+03
5.6;365;660;1.42e+03
5.7;352;636;1.38e+03
5.8;339;615;1.34e+03
5.9;327;596;1.3e+03
6;316;577;1.26e+03
6.1;305;559;1.23e+03
6.2;295;543;1.19e+03
6.3;286;527;1.16e+03
6.4;276;511;1.13e+03
6.5;268;498;1.09e+03
6.6;259;487;1.06e+03
6.7;251;476;1.04e+03
6.8;244;465;1.01e+03
6.9;236;455;982
7;229;443;961
7.1;223;431;942
7.2;216;420;923
7.3;210;409;904
7.4;205;399;887
7.5;199;389;870
7.6;194;378;854
7.7;188;368;838
7.8;183;360;823
7.9;179;351;809
8;174;343;795
8.1;170;336;782
8.2;165;328;768
8.3;161;322;750
8.4;157;316;734
8.5;154;310;718
8.6;150;305;703
8.7;147;300;688
8.8;145;295;673
8.9;142;291;659
9;140;286;645
9.1;138;280;632
9.2;136;275;619
9.3;134;273;607
9.4;132;269;595
9.5;130;263;583
9.6;128;258;571
9.7;127;255;560
9.8;124;252;549
9.9;122;248;539
10;119;245;529
10.1;117;241;519
10.2;114;238;509
10.3;112;234;500
10.4;110;230;491
10.5;108;227;482
10.6;106;224;473
10.7;104;220;465
10.8;102;216;456
10.9;100;213;448
11;98.1;209;440
11.1;96.3;206;433
11.2;94.6;202;425
11.3;92.9;199;418
11.4;91.3;196;411
11.5;89.7;193;404
11.6;88.2;189;398
11.7;86.7;187;391
11.8;85.2;184;385
11.9;83.8;181;378
12;82.4;179;372
12.1;81.1;178;366
12.2;79.8;176;360
12.3;78.5;174;355
12.4;77.3;171;349
12.5;76.1;168;344
12.6;74.9;165;338
12.7;73.8;163;333
12.8;72.7;162;328
12.9;71.6;160;323
13;70.6;159;318
13.1;69.6;157;314
13.2;68.6;156;309
13.3;67.6;154;305
13.4;66.7;152;301
13.5;65.7;150;298
13.6;64.9;148;295
13.7;64;145;293
13.8;63.1;143;290
13.9;62.3;141;288
14;61.5;140;286
14.1;60.7;139;283
14.2;60;138;281
14.3;59.2;137;279
14.4;58.5;136;277
14.5;57.8;134;276
14.6;57.1;132;274
14.7;56.5;130;273
14.8;55.8;128;272
14.9;55.2;126;271
15;54.5;124;270
15.1;53.9;122;268
15.2;53.3;120;267
15.3;52.8;118;266
15.4;52.2;117;264
15.5;51.7;115;261
15.6;51.1;113;258
15.7;50.6;112;255
15.8;50.1;110;252
15.9;49.6;109;249
16;49.1;108;247
16.1;48.6;107;246
16.2;48.2;105;243
16.3;47.7;104;240
16.4;47.3;103;238
16.5;46.8;102;235
16.6;46.4;101;233
16.7;46;99.8;230
16.8;45.6;98.8;227
16.9;45.2;97.6;225
17;44.8;96.5;223
17.1;44.4;95.5;220
17.2;44;94.2;218
17.3;43.7;92.8;216
17.4;43.3;91.5;213
17.5;43;90.2;211
17.6;42.6;88.9;209
17.7;42.3;87.8;207
17.8;42;86.8;206
17.9;41.6;85.7;204
18;41.3;84.8;203
18.1;41;83.9;201
18.2;40.7;83;200
18.3;40.4;82.1;198
18.4;40.1;81.4;195
18.5;39.8;80.7;193
18.6;39.6;80;191
18.7;39.3;79.3;189
18.8;39;78.7;187
18.9;38.7;78;185
19;38.4;77.4;183
19.1;38.1;76.7;181
19.2;37.8;75.9;179
19.3;37.5;75.1;177
19.4;37.2;74.4;175
19.5;37;73.6;174
19.6;36.7;72.9;172
19.7;36.4;72.2;171
19.8;36.2;71.4;170
19.9;35.9;70.7;169
20;35.6;70.1;168
20.1;35.4;69.4;166
20.2;35.1;68.9;165
20.3;34.9;68.3;164
20.4;34.6;67.8;163
20.5;34.4;67.3;162
20.6;34.2;66.8;161
20.7;33.9;66.3;160
20.8;33.7;65.7;159
20.9;33.5;65.2;158
21;33.3;64.8;157
21.1;33;64.3;156
21.2;32.8;63.8;156
21.3;32.6;63.3;155
21.4;32.4;62.7;154
21.5;32.2;62.2;153
21.6;32;61.7;152
21.7;31.8;61.2;152
21.8;31.6;60.6;151
21.9;31.4;59.9;151
22;31.2;59.2;150
22.1;31;58.4;150
22.2;30.8;57.8;149
22.3;30.6;57.3;149
22.4;30.3;56.8;148
22.5;30.1;56.4;148
22.6;29.9;56;147
22.7;29.7;55.6;147
22.8;29.5;55.2;146
22.9;29.3;54.8;146
23;29;54.4;145
23.1;28.8;54;145
23.2;28.6;53.5;144
23.3;28.4;53;144
23.4;28.2;52.6;143
23.5;28;52.2;143
23.6;27.8;51.9;142
23.7;27.7;51.5;142
23.8;27.5;51.1;141
23.9;27.3;50.5;141
24;27.1;49.9;140
