Time profiles of Raltegravir for Raltegravir 400mg (lactose formulation).;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
0;0;0;0
0.05;3.88;17.7;66.5
0.1;57.4;182;621
0.15;194;536;1.6e+03
0.2;416;1.06e+03;2.86e+03
0.25;714;1.64e+03;4.14e+03
0.3;1.06e+03;2.25e+03;5.21e+03
0.35;1.41e+03;2.9e+03;6.13e+03
0.4;1.72e+03;3.53e+03;6.71e+03
0.45;2.02e+03;4.05e+03;7.02e+03
0.5;2.29e+03;4.35e+03;7.01e+03
0.55;2.52e+03;4.67e+03;6.91e+03
0.6;2.73e+03;4.86e+03;6.8e+03
0.65;2.92e+03;4.98e+03;6.83e+03
0.7;3.04e+03;5.05e+03;6.79e+03
0.75;3.13e+03;5.05e+03;6.68e+03
0.8;3.15e+03;4.95e+03;6.41e+03
0.85;3.16e+03;4.83e+03;6.27e+03
0.9;3.14e+03;4.67e+03;6.17e+03
0.95;3.09e+03;4.56e+03;6e+03
1;3e+03;4.42e+03;5.81e+03
1.05;2.9e+03;4.27e+03;5.63e+03
1.1;2.8e+03;4.1e+03;5.44e+03
1.15;2.71e+03;3.96e+03;5.33e+03
1.2;2.63e+03;3.8e+03;5.22e+03
1.25;2.52e+03;3.64e+03;5.13e+03
1.3;2.4e+03;3.52e+03;5.04e+03
1.35;2.31e+03;3.42e+03;4.94e+03
1.4;2.22e+03;3.3e+03;4.82e+03
1.45;2.14e+03;3.16e+03;4.69e+03
1.5;2.05e+03;3.05e+03;4.56e+03
1.55;1.97e+03;2.94e+03;4.43e+03
1.6;1.9e+03;2.84e+03;4.31e+03
1.65;1.82e+03;2.75e+03;4.19e+03
1.7;1.74e+03;2.64e+03;4.07e+03
1.75;1.67e+03;2.55e+03;3.96e+03
1.8;1.6e+03;2.46e+03;3.85e+03
1.85;1.54e+03;2.38e+03;3.74e+03
1.9;1.48e+03;2.3e+03;3.64e+03
1.95;1.43e+03;2.22e+03;3.53e+03
2;1.38e+03;2.14e+03;3.43e+03
2.25;1.17e+03;1.83e+03;3.02e+03
2.5;984;1.58e+03;2.68e+03
2.75;839;1.38e+03;2.39e+03
3;722;1.21e+03;2.11e+03
3.25;621;1.05e+03;1.9e+03
3.5;536;927;1.74e+03
3.75;466;828;1.57e+03
4;409;740;1.42e+03
4.25;360;661;1.28e+03
4.5;320;593;1.16e+03
4.75;286;530;1.06e+03
5;256;475;973
5.25;231;433;893
5.5;210;396;833
5.75;191;366;783
6;175;341;738
6.25;160;318;697
6.5;148;297;660
6.75;138;280;620
7;130;261;580
7.25;123;245;543
7.5;117;232;510
7.75;112;220;479
8;105;207;451
8.25;98.1;198;425
8.5;92.1;187;401
8.75;86.7;180;379
9;81.8;171;359
9.25;77.3;164;340
9.5;73.1;156;323
9.75;69.3;148;307
10;65.7;141;292
