Time profiles of Raltegravir for Raltegravir 800 mg  (lactose formulation).;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
0;0;0;0
0.05;7.78;35.7;134
0.1;116;369;1.23e+03
0.15;398;1.1e+03;3.24e+03
0.2;860;2.18e+03;5.82e+03
0.25;1.48e+03;3.36e+03;8.39e+03
0.3;2.2e+03;4.64e+03;1.03e+04
0.35;2.91e+03;5.95e+03;1.2e+04
0.4;3.56e+03;7.24e+03;1.36e+04
0.45;4.18e+03;8.33e+03;1.44e+04
0.5;4.73e+03;9.02e+03;1.43e+04
0.55;5.23e+03;9.63e+03;1.41e+04
0.6;5.64e+03;9.98e+03;1.39e+04
0.65;6.03e+03;1.03e+04;1.4e+04
0.7;6.29e+03;1.04e+04;1.39e+04
0.75;6.47e+03;1.04e+04;1.37e+04
0.8;6.58e+03;1.03e+04;1.32e+04
0.85;6.63e+03;1e+04;1.29e+04
0.9;6.51e+03;9.74e+03;1.27e+04
0.95;6.4e+03;9.41e+03;1.24e+04
1;6.21e+03;9.09e+03;1.2e+04
1.05;6.01e+03;8.85e+03;1.16e+04
1.1;5.8e+03;8.53e+03;1.12e+04
1.15;5.65e+03;8.19e+03;1.1e+04
1.2;5.49e+03;7.91e+03;1.07e+04
1.25;5.24e+03;7.59e+03;1.06e+04
1.3;5e+03;7.32e+03;1.04e+04
1.35;4.77e+03;7.03e+03;1.02e+04
1.4;4.58e+03;6.72e+03;9.89e+03
1.45;4.41e+03;6.47e+03;9.63e+03
1.5;4.23e+03;6.26e+03;9.36e+03
1.55;4.07e+03;6.07e+03;9.1e+03
1.6;3.9e+03;5.88e+03;8.85e+03
1.65;3.73e+03;5.69e+03;8.6e+03
1.7;3.58e+03;5.47e+03;8.36e+03
1.75;3.43e+03;5.29e+03;8.13e+03
1.8;3.28e+03;5.09e+03;7.89e+03
1.85;3.15e+03;4.9e+03;7.65e+03
1.9;3.03e+03;4.74e+03;7.42e+03
1.95;2.92e+03;4.58e+03;7.2e+03
2;2.81e+03;4.43e+03;6.99e+03
2.25;2.4e+03;3.79e+03;6.15e+03
2.5;2.03e+03;3.26e+03;5.44e+03
2.75;1.72e+03;2.85e+03;4.85e+03
3;1.47e+03;2.48e+03;4.32e+03
3.25;1.25e+03;2.18e+03;3.89e+03
3.5;1.08e+03;1.91e+03;3.54e+03
3.75;940;1.69e+03;3.23e+03
4;824;1.49e+03;2.91e+03
4.25;728;1.33e+03;2.64e+03
4.5;647;1.19e+03;2.39e+03
4.75;580;1.07e+03;2.18e+03
5;523;956;1.99e+03
5.25;475;860;1.83e+03
5.5;433;782;1.69e+03
5.75;394;715;1.57e+03
6;360;656;1.45e+03
6.25;330;606;1.35e+03
6.5;304;563;1.26e+03
6.75;281;530;1.17e+03
7;260;498;1.1e+03
7.25;242;466;1.03e+03
7.5;225;437;984
7.75;210;410;938
8;197;385;897
8.25;185;362;860
8.5;174;344;820
8.75;163;331;777
9;154;319;737
9.25;148;305;701
9.5;143;295;667
9.75;138;283;636
10;134;273;606
10.3;127;266;578
10.5;121;255;552
10.8;115;245;528
11;110;235;505
11.3;105;225;483
11.5;100;216;463
11.8;95.8;207;444
12;91.9;199;426
12.3;88.1;197;409
12.5;84.7;189;393
12.8;81.5;182;378
13;78.4;175;363
13.3;75.6;170;350
13.5;73;166;337
13.8;70.5;162;325
14;68.2;156;316
14.3;66;151;309
14.5;64;148;307
14.8;62.1;144;304
15;60.3;139;301
15.3;58.7;134;298
15.5;57.1;130;295
15.8;55.6;125;286
16;54.2;121;277
16.3;52.9;117;273
16.5;51.6;113;267
16.8;50.5;110;259
17;49.4;107;252
17.3;48.3;104;245
17.5;47.3;101;238
17.8;46.4;98.7;232
18;45.5;95.9;227
18.3;44.6;93.3;224
18.5;43.8;90.8;222
18.8;43.1;88.4;219
19;42.3;86.3;215
19.3;41.5;83.8;212
19.5;40.7;82.1;208
19.8;40;80.4;204
20;39.3;78.8;199
20.3;38.6;77.2;194
20.5;37.9;75.7;190
20.8;37.3;73.9;185
21;36.6;72.2;180
21.3;36;70.6;175
21.5;35.5;69;173
21.8;34.9;67.6;170
22;34.4;66.3;167
22.3;33.8;65.1;166
22.5;33.2;63.9;164
22.8;32.6;62.8;163
23;32;61.6;161
23.3;31.4;60.5;160
23.5;30.9;59.1;159
23.8;30.3;57.9;157
24;29.8;56.9;156
24.3;29.3;55.8;154
24.5;28.9;54.7;153
24.8;28.4;53.6;152
25;27.9;52.4;150
25.3;27.5;51;149
25.5;27.1;49.7;148
25.8;26.6;48.8;147
26;26.2;47.8;145
26.3;25.8;46.5;144
26.5;25.4;44.9;143
26.8;25;43.5;142
27;24.7;42.4;140
27.3;24.3;41.5;136
27.5;23.9;40.7;130
27.8;23.5;40;125
28;23;39.4;120
28.3;22.5;38.9;116
28.5;22.1;38.3;112
28.8;21.7;37.8;109
29;21.2;37;106
29.3;20.8;36.3;104
29.5;20.4;35.5;102
29.8;20.1;34.7;101
30;19.9;34;99.4
30.3;19.6;33.3;97.9
30.5;19.3;32.7;96.4
30.8;19.1;32;94.9
31;18.8;31.4;93.5
31.3;18.6;30.8;92
31.5;18.3;30.3;90.6
31.8;18;29.7;89.2
32;17.7;29.1;87.9
32.3;17.4;28.5;86.5
32.5;17.2;27.9;84.9
32.8;16.9;27.3;83.2
33;16.6;26.8;81.4
33.3;16.4;26.2;79.5
33.5;16.1;25.7;77.5
33.8;15.8;25.2;75.3
34;15.6;24.8;73
34.3;15.3;24.3;70.6
34.5;14.9;24;68.2
34.8;14.6;23.6;65.8
35;14.3;23.2;63.4
35.3;14;22.8;61.1
35.5;13.7;22.4;58.8
35.8;13.5;22;56.6
36;13.2;21.6;54.4
36.3;12.9;21.2;52.3
36.5;12.7;20.9;50.3
36.8;12.5;20.4;48.3
37;12.3;20;46.4
37.3;12;19.6;44.6
37.5;11.8;19.2;42.6
37.8;11.6;18.8;40.7
38;11.4;18.4;39.2
38.3;11.2;18;37.9
38.5;11;17.7;36.7
38.8;10.8;17.4;35.5
39;10.6;17.1;34.4
39.3;10.4;16.8;33.5
39.5;10.3;16.6;32.6
39.8;10.1;16.3;31.7
40;9.9;16.1;30.8
40.3;9.73;15.8;29.9
40.5;9.56;15.5;29.1
40.8;9.39;15.3;28.3
41;9.22;15;27.5
41.3;9.06;14.7;27
41.5;8.9;14.4;26.5
