Time profiles of Raltegravir for Raltegravir 1200 mg   (lactose formulation).;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
0;0;0;0
0.05;11.7;53.8;198
0.1;176;560;1.78e+03
0.15;607;1.67e+03;4.69e+03
0.2;1.31e+03;3.3e+03;8.31e+03
0.25;2.2e+03;5.1e+03;1.21e+04
0.3;3.19e+03;7.03e+03;1.52e+04
0.35;4.16e+03;9.04e+03;1.74e+04
0.4;5.18e+03;1.09e+04;1.92e+04
0.45;6.16e+03;1.25e+04;2.04e+04
0.5;7.07e+03;1.35e+04;2.13e+04
0.55;7.87e+03;1.44e+04;2.13e+04
0.6;8.57e+03;1.51e+04;2.11e+04
0.65;9.12e+03;1.55e+04;2.14e+04
0.7;9.46e+03;1.6e+04;2.14e+04
0.75;9.87e+03;1.59e+04;2.12e+04
0.8;1.02e+04;1.58e+04;2.09e+04
0.85;1.03e+04;1.55e+04;2.03e+04
0.9;1.01e+04;1.5e+04;1.97e+04
0.95;9.79e+03;1.46e+04;1.91e+04
1;9.54e+03;1.41e+04;1.84e+04
1.05;9.22e+03;1.36e+04;1.78e+04
1.1;8.92e+03;1.31e+04;1.72e+04
1.15;8.72e+03;1.26e+04;1.67e+04
1.2;8.47e+03;1.21e+04;1.65e+04
1.25;8.08e+03;1.16e+04;1.62e+04
1.3;7.7e+03;1.12e+04;1.59e+04
1.35;7.34e+03;1.07e+04;1.55e+04
1.4;7.03e+03;1.03e+04;1.51e+04
1.45;6.75e+03;9.96e+03;1.47e+04
1.5;6.49e+03;9.66e+03;1.43e+04
1.55;6.24e+03;9.37e+03;1.39e+04
1.6;5.96e+03;9.1e+03;1.35e+04
1.65;5.7e+03;8.78e+03;1.31e+04
1.7;5.46e+03;8.44e+03;1.28e+04
1.75;5.23e+03;8.11e+03;1.24e+04
1.8;5.01e+03;7.82e+03;1.2e+04
1.85;4.81e+03;7.54e+03;1.17e+04
1.9;4.62e+03;7.3e+03;1.13e+04
1.95;4.45e+03;7.07e+03;1.1e+04
2;4.29e+03;6.84e+03;1.06e+04
2.25;3.64e+03;5.81e+03;9.34e+03
2.5;3.13e+03;5.02e+03;8.24e+03
2.75;2.65e+03;4.36e+03;7.35e+03
3;2.26e+03;3.79e+03;6.58e+03
3.25;1.94e+03;3.33e+03;5.94e+03
3.5;1.66e+03;2.92e+03;5.39e+03
3.75;1.44e+03;2.59e+03;4.91e+03
4;1.26e+03;2.28e+03;4.45e+03
4.25;1.1e+03;2.02e+03;4.03e+03
4.5;978;1.8e+03;3.66e+03
4.75;872;1.62e+03;3.33e+03
5;783;1.45e+03;3.03e+03
5.25;708;1.31e+03;2.78e+03
5.5;644;1.19e+03;2.56e+03
5.75;590;1.08e+03;2.37e+03
6;544;993;2.2e+03
6.25;505;913;2.05e+03
6.5;470;843;1.9e+03
6.75;434;780;1.78e+03
7;402;725;1.66e+03
7.25;374;675;1.55e+03
7.5;348;630;1.46e+03
7.75;325;593;1.37e+03
8;304;562;1.29e+03
8.25;285;529;1.24e+03
8.5;268;499;1.18e+03
8.75;252;473;1.14e+03
9;238;452;1.1e+03
9.25;225;431;1.04e+03
9.5;212;417;995
9.75;201;400;949
10;191;388;906
10.3;183;373;867
10.5;178;362;831
10.8;173;347;798
11;167;337;766
11.3;159;328;737
11.5;152;320;709
11.8;146;311;684
12;139;302;659
12.3;134;291;636
12.5;128;280;615
12.8;124;271;594
13;119;264;575
13.3;115;256;556
13.5;111;250;538
13.8;107;241;520
14;103;234;503
14.3;100;229;486
14.5;96.9;223;470
14.8;94;221;454
15;91.2;218;439
15.3;88.7;212;424
15.5;86.3;206;410
15.8;84;199;397
16;81.9;193;388
16.3;79.9;186;384
16.5;78;181;382
16.8;76.2;176;377
17;74.5;171;368
17.3;73.1;165;363
17.5;71.7;161;360
17.8;70.4;157;357
18;69.2;154;354
18.3;67.9;150;346
18.5;66.8;146;337
18.8;65.6;141;330
19;64.5;138;325
19.3;63.3;135;320
19.5;62.1;132;314
19.8;60.9;129;309
20;59.8;126;304
20.3;58.7;122;299
20.5;57.5;119;293
20.8;56.5;115;286
21;55.4;112;283
21.3;54.4;110;280
21.5;53.5;107;275
21.8;52.5;105;271
22;51.7;103;266
22.3;50.9;101;262
22.5;50.1;99.4;258
22.8;49.4;97.6;254
23;48.6;96.1;250
23.3;47.7;94.7;246
23.5;46.8;92.8;242
23.8;46;91;238
24;45.2;89.2;234
24.3;44.4;87.6;230
24.5;43.7;86;228
24.8;42.9;84.5;226
25;42.2;83;223
25.3;41.5;81.5;221
25.5;40.9;80.1;219
25.8;40.2;78.8;217
26;39.6;77.3;214
26.3;39;76;211
26.5;38.4;74.6;208
26.8;37.8;73.3;205
27;37.2;72.1;201
27.3;36.6;70.8;198
27.5;36.1;69.6;195
27.8;35.6;68.4;191
28;35;67.2;188
28.3;34.4;66;185
28.5;33.7;64.9;181
28.8;33;63.7;178
29;32.4;62.6;175
29.3;31.7;61.5;172
29.5;31.1;59.9;168
29.8;30.7;58.2;165
30;30.2;57;163
30.3;29.8;56.3;161
30.5;29.3;55.6;160
30.8;28.9;54.8;158
31;28.5;54;157
31.3;28;53.3;155
31.5;27.5;52.4;154
31.8;27.1;51;152
32;26.6;49.8;151
32.3;26.2;48.8;149
32.5;25.8;47.9;148
32.8;25.4;46.6;147
33;25;45.1;143
33.3;24.6;43.7;138
33.5;24.2;42.4;133
33.8;23.8;41.2;128
34;23.4;40.3;124
34.3;23;39.4;120
34.5;22.7;38.6;118
34.8;22.3;37.8;115
35;21.9;37.2;113
35.3;21.6;36.4;111
35.5;21.2;35.5;110
35.8;20.9;34.7;108
36;20.6;34.1;106
36.3;20.2;33.4;104
36.5;19.9;32.6;102
36.8;19.6;31.9;100
37;19.3;31.3;98.6
37.3;19;30.6;96.9
37.5;18.7;30.2;95.3
37.8;18.4;29.8;93.6
38;18.1;29.3;92
38.3;17.8;28.9;90.4
38.5;17.5;28.4;88.8
38.8;17.2;27.9;87
39;16.9;27.4;85
39.3;16.6;26.9;83
39.5;16.4;26.3;80.6
39.8;16;25.7;78.2
40;15.6;25.1;75.6
40.3;15.3;24.6;73
40.5;14.9;24.1;70.5
40.8;14.6;23.7;67.9
41;14.2;23.3;65.4
41.3;13.9;22.9;62.9
41.5;13.6;22.5;60.5
41.8;13.3;22.2;58.1
42;13;21.8;55.7
42.3;12.7;21.2;53.2
42.5;12.4;20.8;50.9
42.8;12.2;20.4;48.6
43;12;20;46.4
43.3;11.8;19.6;44.3
43.5;11.6;19.2;42.3
43.8;11.4;18.8;40.4
44;11.2;18.4;39
44.3;11;18.1;37.8
44.5;10.8;17.7;36.6
44.8;10.6;17.3;35.7
45;10.4;17;34.6
45.3;10.2;16.7;33.6
45.5;10;16.4;32.7
45.8;9.83;16.1;31.7
46;9.66;15.8;30.8
46.3;9.48;15.5;30
46.5;9.31;15.2;29.1
46.8;9.15;15;28.4
47;8.98;14.7;27.9
47.3;8.82;14.4;27.5
47.5;8.66;14.2;27
47.8;8.51;13.9;26.6
48;8.35;13.7;26.2
48.3;8.2;13.4;25.8
48.5;8.06;13.2;25.1
48.8;7.91;13;24.4
49;7.77;12.7;23.7
49.3;7.63;12.5;23.1
49.5;7.49;12.3;22.5
49.8;7.35;12;21.9
50;7.22;11.8;21.5
50.3;7.09;11.6;21.1
50.5;6.96;11.4;20.8
50.8;6.84;11.2;20.4
51;6.71;11;20.1
51.3;6.59;10.8;19.8
51.5;6.47;10.5;19.4
51.8;6.35;10.3;19.1
52;6.23;10.2;18.8
52.3;6.11;9.99;18.5
52.5;6;9.82;18.2
52.8;5.89;9.65;17.9
53;5.77;9.49;17.6
53.3;5.67;9.33;17.3
53.5;5.56;9.17;17
53.8;5.45;8.97;16.5
54;5.35;8.77;16.1
54.3;5.25;8.61;15.9
54.5;5.15;8.46;15.6
54.8;5.05;8.28;15.4
55;4.96;8.13;15.1
55.3;4.87;7.98;14.9
55.5;4.77;7.84;14.7
55.8;4.68;7.69;14.4
56;4.6;7.55;14.2
56.3;4.51;7.42;14
56.5;4.43;7.28;13.7
56.8;4.34;7.15;13.5
57;4.26;7.01;13.3
57.3;4.18;6.87;13.1
57.5;4.1;6.73;12.9
57.8;4.02;6.6;12.7
58;3.95;6.47;12.5
58.3;3.87;6.34;12.3
58.5;3.8;6.21;12.1
58.8;3.73;6.09;11.9
59;3.66;5.97;11.7
59.3;3.59;5.85;11.5
59.5;3.52;5.74;11.3
59.8;3.46;5.63;11.1
60;3.39;5.52;10.9
60.3;3.33;5.42;10.7
60.5;3.27;5.32;10.5
60.8;3.21;5.22;10.3
61;3.15;5.12;10.1
61.3;3.09;5.02;9.97
61.5;3.03;4.93;9.79
61.8;2.97;4.84;9.62
62;2.92;4.75;9.46
62.3;2.86;4.67;9.29
62.5;2.81;4.58;9.13
62.8;2.76;4.5;8.97
63;2.71;4.41;8.82
63.3;2.66;4.33;8.66
63.5;2.61;4.25;8.51
63.8;2.56;4.18;8.36
64;2.51;4.1;8.22
64.3;2.46;4.02;8.07
64.5;2.42;3.95;7.93
64.8;2.37;3.87;7.79
65;2.33;3.79;7.66
65.3;2.29;3.72;7.52
65.5;2.24;3.65;7.39
65.8;2.2;3.58;7.26
66;2.16;3.52;7.13
66.3;2.12;3.45;7.01
66.5;2.08;3.39;6.89
66.8;2.04;3.33;6.77
67;2.01;3.27;6.65
67.3;1.97;3.22;6.53
67.5;1.93;3.16;6.41
67.8;1.9;3.1;6.3
68;1.86;3.05;6.19
68.3;1.83;2.99;6.08
68.5;1.79;2.93;5.98
68.8;1.76;2.87;5.87
69;1.73;2.82;5.76
69.3;1.7;2.76;5.61
69.5;1.67;2.71;5.47
69.8;1.64;2.66;5.34
70;1.61;2.62;5.2
70.3;1.58;2.57;5.08
70.5;1.55;2.52;4.95
70.8;1.52;2.47;4.83
71;1.49;2.43;4.71
71.3;1.47;2.39;4.6
71.5;1.44;2.34;4.52
71.8;1.41;2.3;4.45
72;1.39;2.26;4.37
