#Project: Raltegravir
#PK-Sim version: 8.0.22
"IndividualId","Gender","RaceIndex","Population Name","Organism|Weight [kg]","Organism|BMI [kg/dm²]","Organism|Age [year(s)]","Organism|Gestational age [week(s)]","Organism|Height [dm]","Organism|Ontogeny factor (albumin)","Organism|Ontogeny factor (alpha1-acid glycoprotein)","Organism|Hematocrit","Organism|VenousBlood|Volume [l]","Organism|ArterialBlood|Volume [l]","Organism|Bone|Specific blood flow rate [l/min/kg organ]","Organism|Bone|Volume [l]","Organism|Brain|Volume [l]","Organism|Brain|Specific blood flow rate [l/min/kg organ]","Organism|Fat|Volume [l]","Organism|Fat|Vf (lipid)","Organism|Fat|Vf (neutral lipid)-PT","Organism|Fat|Vf (phospholipid)-PT","Organism|Fat|Fraction interstitial","Organism|Fat|Vf (water)","Organism|Fat|Vf (water)-PT","Organism|Fat|Vf (neutral lipid)-RR","Organism|Fat|Vf (neutral lipid)-WS","Organism|Fat|Vf (neutral phospholipid)-RR","Organism|Fat|Vf (neutral phospholipid, plasma)-WS","Organism|Fat|Vf (extracellular water)-RR","Organism|Fat|Vf (intracellular water)-RR","Organism|Fat|Vf (water)-WS","Organism|Fat|Specific blood flow rate [l/min/kg organ]","Organism|Gonads|Volume [l]","Organism|Gonads|Specific blood flow rate [l/min/kg organ]","Organism|Heart|Volume [l]","Organism|Heart|Specific blood flow rate [l/min/kg organ]","Organism|Kidney|Volume [l]","Organism|Kidney|Age of aging onset [year(s)]","Organism|Kidney|Aging half-time [year(s)]","Organism|Kidney|GFRmat [l/min]","Organism|Kidney|Hill coefficient for aging GFR","Organism|Kidney|Hill coefficient for GFR","Organism|Kidney|Maximal decreasing rate factor","Organism|Kidney|TM50 for GFR [week(s)]","Organism|Kidney|Specific blood flow rate [l/min/kg organ]","Organism|Lumen|Effective surface area variability factor","Organism|Lumen|Stomach|Distal radius [dm]","Organism|Lumen|Stomach|Gastric emptying time [min]","Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor","Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor","Organism|Lumen|Stomach|Length [dm]","Organism|Lumen|Stomach|Proximal radius [dm]","Organism|Lumen|Duodenum|Effective surface area enhancement factor","Organism|Lumen|UpperJejunum|Effective surface area enhancement factor","Organism|Lumen|LowerJejunum|Effective surface area enhancement factor","Organism|Lumen|UpperIleum|Effective surface area enhancement factor","Organism|Lumen|LowerIleum|Effective surface area enhancement factor","Organism|Lumen|Caecum|Effective surface area enhancement factor","Organism|Lumen|ColonAscendens|Effective surface area enhancement factor","Organism|Lumen|ColonTransversum|Effective surface area enhancement factor","Organism|Lumen|ColonDescendens|Effective surface area enhancement factor","Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor","Organism|Lumen|Rectum|Effective surface area enhancement factor","Organism|Stomach|Volume [l]","Organism|Stomach|Specific blood flow rate [l/min/kg organ]","Organism|SmallIntestine|Small intestinal transit time [min]","Organism|SmallIntestine|Volume [l]","Organism|SmallIntestine|Specific blood flow rate [l/min/kg organ]","Organism|LargeIntestine|Large intestinal transit time [min]","Organism|LargeIntestine|Volume [l]","Organism|LargeIntestine|Specific blood flow rate [l/min/kg organ]","Organism|Liver|Volume [l]","Organism|Liver|Specific blood flow rate [l/min/kg organ]","Organism|Lung|Volume [l]","Organism|Lung|Fraction vascular","Organism|Muscle|Volume [l]","Organism|Muscle|Vf (lipid)","Organism|Muscle|Vf (neutral lipid)-PT","Organism|Muscle|Vf (phospholipid)-PT","Organism|Muscle|Vf (protein)","Organism|Muscle|Vf (water)","Organism|Muscle|Vf (water)-PT","Organism|Muscle|Fraction interstitial","Organism|Muscle|Vf (neutral lipid)-RR","Organism|Muscle|Vf (neutral lipid)-WS","Organism|Muscle|Vf (neutral phospholipid)-RR","Organism|Muscle|Vf (neutral phospholipid, plasma)-WS","Organism|Muscle|Vf (extracellular water)-RR","Organism|Muscle|Vf (protein)-WS","Organism|Muscle|Vf (intracellular water)-RR","Organism|Muscle|Vf (water)-WS","Organism|Muscle|Specific blood flow rate [l/min/kg organ]","Organism|Pancreas|Volume [l]","Organism|Pancreas|Specific blood flow rate [l/min/kg organ]","Organism|PortalVein|Volume [l]","Organism|Skin|Volume [l]","Organism|Skin|Specific blood flow rate [l/min/kg organ]","Organism|Spleen|Volume [l]","Organism|Spleen|Specific blood flow rate [l/min/kg organ]","UGT1A1|Ontogeny factor","UGT1A1|Ontogeny factor GI","UGT1A9|Ontogeny factor","UGT1A9|Ontogeny factor GI"
0,1,0,Healthy adults,69.4441540661948,0.213640871075842,31.8169039077204,40,18.0291675986922,0.850975572141528,0.955231946835774,0.47,1.05039360647228,0.421736890358989,0.0289934519968966,12.5399444167981,1.49871778225099,0.52527871317043,12.4815079087477,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0202065549323795,0.0371390977700321,0.0784268875118691,0.322414015744214,0.6147323935708,0.130919397935155,30,54,0.112889292225424,1.5,15.0973528197244,0.9,44.7645757371211,2.91507984969083,0.577492583405286,0.5,13.385175634771,1.08169149433518,0.645408966464356,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.2007014063583,0.367153398026163,117.180792877844,0.608100515953289,0.952189893979751,2652,0.558598826807861,0.590599463541174,2.87025269017261,0.19267719240971,1.65708062423056,0.58,30.1114632134793,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0362256642255462,0.0987918107377754,0.337087590673259,1.01912005827619,3.67213418043856,0.0896278156318607,0.1651376236629,0.916744771927869,0.817791562969022,1.07392231129701,0.96165205682277,1.19117436430779
1,1,0,Healthy adults,91.1054833715373,0.29560358082345,31.0336533705861,40,17.5556701761038,0.975714480446159,1.1435052643296,0.47,0.996986955279525,0.388576627092972,0.0266835976717533,11.7435685405075,1.44379119286512,0.531888082404512,33.9207575716729,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0222275085809623,0.0396016537819219,0.0833588764637699,0.522945247738084,0.652869069833654,0.474840160614678,30,54,0.0724032826150787,1.5,15.3589988227971,0.9,42.9730027954972,3.11909894036379,1.04457916316088,0.5,16.4946445797915,1.35473937690075,1.26299945819723,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.169991364761651,0.347452982579504,118.88544317435,0.894167159998492,0.82627627352873,2652,0.345188495967327,0.625184141168742,1.93096539858622,0.185113215514624,1.55603699909701,0.58,30.9674383384149,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.031362818028029,0.224252924621886,0.359856045219001,1.01888507145533,4.22304078372434,0.0913936332903862,0.24444888535743,0.872725834669183,1.0323146091989,0.894136867019722,1.02218995905245,1.13983767312143
2,1,0,Healthy adults,52.4112146645525,0.208812923807328,24.2139646523697,40,15.8428541913484,1.02486616695892,1.27662702241166,0.450713215507899,0.860696328621479,0.374715257957173,0.0324987760258149,9.12199427772663,1.45504301791921,0.558468195408783,7.80874892114921,0.772998501711059,0.763336020439671,0.00193249625427765,0.183144141390521,0.177001498288941,0.21240179794673,0.824209652449416,0.888948276967718,0.00154599700342212,0.00195568620932898,0.159301348460047,0.0106200898973365,0.0354002996577883,0.028443698710777,0.0305387798739426,0.103354053542744,0.280307364236373,0.658359284476418,0.347438771336772,30,54,0.0641868382509238,1.5,15.1162238345838,0.9,44.5540306150724,3.19858169363854,0.380706147702149,0.49013673841074,16.6784585007199,0.979202549031565,0.868029140091596,1.96053923892916,0.49013673841074,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.178054802568287,0.393297065047652,61.5611374394444,0.667182846861947,0.933956627756929,2595.29685359322,0.35238149697268,0.662132322268088,1.62065561670059,0.196941718592159,0.993641660623323,0.58,24.3459447240869,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16771471379684,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0347654031018905,0.196389094286304,0.383615343353216,0.933850512462149,2.68302426279904,0.104644498485943,0.16060692837049,0.878457940861254,0.941973848395801,1.00002268695051,0.962276244370412,1.07271180425256
3,1,0,Healthy adults,82.1777108916157,0.241805777975379,38.3624143983994,40,18.4350229542718,0.937774477161455,1.01078466289215,0.47,1.03744264070415,0.435618710027286,0.0264173145792243,12.9996113806312,1.70011644968158,0.522002199087642,12.499319954241,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0235854978073189,0.0405977002782088,0.0783667661244993,0.333819333423791,0.596285919326456,0.513332024632932,30,54,0.131763122882827,1.5,15.0438277297123,0.9,43.7944635309632,2.98182873643255,1.72457988402371,0.5,6.71521229141011,2.51654499718039,0.801472516672261,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.1688804027686,0.371134719231257,162.778008964598,0.634033227282918,0.858522550604201,2652,0.47241841204627,0.634846891577902,3.11352467551877,0.176586067985721,1.16728525444496,0.58,41.5481984834914,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.033760827652598,0.189310394295866,0.364977859816858,1.01371045818365,4.18675257720086,0.0918539432957578,0.123738812762187,0.864692583219261,1.18557744314929,0.927232262259166,1.08530714377653,1.33637271764138
4,1,0,Healthy adults,77.9979398993434,0.288744059579583,30.0556194549685,40,16.4355800901681,0.898130033599077,1.78327976976085,0.47,0.976184522720211,0.416473042159658,0.0280210557172825,10.2931961954913,1.57063107610588,0.537709215500818,26.1649987535728,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0200902224229309,0.0357425958007824,0.0781503754865883,0.411690878881145,0.651228554839005,0.674849484810111,30,54,0.097857176983378,1.5,15.4192602034913,0.9,45.6612659457108,3.31216803927648,1.3505907829276,0.5,27.505607312033,0.510841788590215,0.84991970809978,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.164737502703507,0.390751773168659,134.872151767684,0.688016200341557,0.887524662505345,2652,0.419480117791117,0.63795016753892,1.65839083237924,0.191936620360142,1.4355576437008,0.58,28.3142159681646,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.033390305988862,0.146880655344803,0.331518647362555,0.967174441258229,3.43511339524573,0.0792276983550955,0.224606592871964,0.769438679307787,0.875390875771432,1.01437209753188,0.884684285842917,1.04689849633913
5,1,0,Healthy adults,75.0454069435993,0.232893609657514,28.0955488272456,40,17.9507778531153,1.19779546277893,0.735950434880809,0.463651829424152,1.02142973590603,0.449687558483765,0.0286473153608487,11.9702944036791,1.50926622313696,0.449190466200975,19.8007552861036,0.791112561193813,0.78122365417889,0.00197778140298453,0.167617804691018,0.158887438806187,0.190664926567425,0.843523768372903,0.909779445372885,0.00158222512238763,0.00200151477982035,0.142998694925568,0.00953324632837121,0.0317774877612374,0.0230569684973226,0.0379503434124165,0.0894686625879026,0.301169611606925,0.716941836042575,0.285470219768937,30,54,0.108481472494122,1.5,15.1742960107994,0.9,44.5121474421896,3.21970101257836,1.22565670252434,0.496753545567511,6.87027741953381,1.27187747564512,1.54169709884866,1.98701164300182,0.496753545567511,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.161832498910685,0.42148602858346,89.4043278516808,0.788588825236782,0.935201198188305,2633.33637850701,0.337761071425042,0.606597419569685,1.80940001701064,0.181795981517555,0.891419866663486,0.58,30.3839429377953,0.013,0.0238,0.0072,0.177,0.811,0.76,0.162539268230339,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0341470317435468,0.226726964914553,0.368905795642548,1.05082347534399,3.72620182855634,0.0841725640782583,0.292686075644799,0.775741136484863,0.996817272155939,1.01872231277386,0.873179836984259,0.779173072829751
6,1,0,Healthy adults,59.4888641663069,0.210301214445846,35.9282798394227,40,16.8188752046655,0.761942415834713,1.00215589801747,0.47,0.923155011761467,0.381486695799683,0.028061824590345,10.7595496005775,1.56426431418097,0.506388001881028,7.33995742988333,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0211162084997871,0.0393810860985012,0.0824781419213868,0.430570474470331,0.628032395384107,0.552296745566849,30,54,0.101149989680736,1.5,15.1959164569215,0.9,43.1343134868812,2.79738546956925,0.642372698382066,0.5,12.6096968284613,0.919847067744498,0.962812129930826,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.163410753962552,0.402977898401007,115.057933127978,0.456889774710655,0.903857133392273,2652,0.466851890147568,0.619573180469689,1.62624732845248,0.1888200167665,1.15309788798635,0.58,29.141250479917,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0353961325481884,0.159326098690782,0.361189352013599,0.961005836967317,3.09556327970663,0.0943142801498739,0.274559477426895,0.835273752096045,0.973407240566078,1.08486633383008,1.34052597423972,0.845899928707753
7,1,0,Healthy adults,89.7157294445264,0.267400977073442,33.6547742475079,40,18.3169348777385,1.00567601667028,1.25913702823661,0.47,1.03105571838993,0.437726186171575,0.0247223230911682,12.9623585156933,1.47699299568168,0.535839372047021,24.627051407287,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0231210209453563,0.0430570428400864,0.0729329219035395,0.440071164687992,0.599084127138594,0.402691343145066,30,54,0.100133821026242,1.5,14.692251006573,0.9,43.9926265447685,3.27683312127045,0.30522325841199,0.5,11.7203776734541,1.09140103702387,1.02720712262354,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.215032695167252,0.403862691637956,132.765239525952,0.744063146250066,0.913362318351897,2652,0.40890537530461,0.699047930863091,1.56350807492859,0.183833786291912,1.13450829074564,0.58,38.4527063846156,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0315223164921081,0.149309743351655,0.343957814556114,1.00439130916912,4.29607348007705,0.0865759904312191,0.326226571020224,0.823627149184931,0.991670081190149,0.973617204955107,0.908307679933592,1.19618330641294
8,1,0,Healthy adults,50.4314786267624,0.217304821646285,21.385550145705,40,15.2340778094629,0.990604524045045,1.1344512491414,0.44128516715235,0.759376730910815,0.312830606883269,0.0331451552322401,7.98220486218784,1.47352748900129,0.513911732402357,7.57100637471957,0.75979923401329,0.750301743588124,0.00189949808503323,0.19445779941718,0.19020076598671,0.228240919184052,0.810135933266671,0.873769119115284,0.00151959846802658,0.00192229206205362,0.171180689388039,0.0114120459592026,0.038040153197342,0.029088189193135,0.0282273225787024,0.125804821583173,0.280049042042871,0.755250730685343,0.268287392622423,30,54,0.136928858537326,1.5,14.6849741419092,0.9,43.0999425630918,3.48207705084822,0.624989180432706,0.485315234481712,10.3186194025128,1.23556362767919,1.81159839943653,1.94124945199371,0.485315234481712,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.103867097427445,0.424102580014165,157.290711822617,0.613039043273972,0.948109292276007,2567.57839142791,0.345555991303989,0.682360723642632,1.67059758392843,0.220223785717418,0.550169736702677,0.58,24.7181137775692,0.013,0.0238,0.0072,0.177,0.811,0.76,0.17148593313906,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0323186547932486,0.126268507979805,0.356609631444945,0.871436020813084,2.5691325550854,0.107890368700149,0.187788491731614,0.887210138810567,0.890868424587616,1.18378288210475,0.96401182049166,0.882922041316832
9,1,0,Healthy adults,67.9190889788434,0.242198026742243,37.3815172432836,40,16.7459822184309,0.937223076533007,1.56985644430571,0.47,0.953221161959825,0.417908205161416,0.0266993791284477,10.8637096970755,1.45227743895748,0.505497811335315,14.3097774961509,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0210404975706854,0.0404331196727282,0.0775314223649146,0.291012828317097,0.636544838132017,0.448485637150398,30,54,0.188745087300315,1.5,15.0444293209698,0.9,46.7086917116275,2.98651583833078,1.10454583813015,0.5,16.3114963726004,1.44080832156728,0.739655705290841,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.204027700401545,0.384027515580512,100.141691322598,0.703570244667938,0.873113476392297,2652,0.317573446016047,0.650365387615303,2.69616174714008,0.178621593859354,1.64540627353625,0.58,28.7221982372794,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0344841690679775,0.18496548672705,0.361344228165903,0.989865531747377,3.32510059916004,0.0920336938314214,0.353394127722241,0.814832171846523,0.786584690310169,0.954152038368122,1.27390183347615,0.953925111954144
