Distribution of age for simulated Healthy Adult Population.;
;
Age [years];simulated Healthy Adult Population (n=100)
;
20 <= age < 20.5;4
20.5 <= age < 21.5;4
21.5 <= age < 22.5;5
22.5 <= age < 23.5;6
23.5 <= age < 24.5;4
24.5 <= age < 25.5;6
25.5 <= age < 26.5;7
26.5 <= age < 27.5;2
27.5 <= age < 28.5;7
28.5 <= age < 29.5;2
29.5 <= age < 30.5;10
30.5 <= age < 31.5;8
31.5 <= age < 32.5;5
32.5 <= age < 33.5;5
33.5 <= age < 34.5;5
34.5 <= age < 35.5;4
35.5 <= age < 36.5;4
36.5 <= age < 37.5;3
37.5 <= age < 38.5;6
38.5 <= age < 39.5;2
39.5 <= age < 40;1
