Time profiles of Raltegravir for Sick adults 400mg sd compared to simulated Raltegravir for Healthy adults 400mg sd.;;;
;;;
Raltegravir [µg/l];;;
Time [h];5^{th} percentile;median;95^{th} percentile
0;0;0;0
0.05;2.62;10.4;35.7
0.1;37.8;118;312
0.15;123;352;878
0.2;258;676;1.64e+03
0.25;424;1.06e+03;2.49e+03
0.3;608;1.48e+03;3.21e+03
0.35;821;1.91e+03;3.9e+03
0.4;1.04e+03;2.34e+03;4.53e+03
0.45;1.24e+03;2.67e+03;4.79e+03
0.5;1.4e+03;2.9e+03;4.96e+03
0.55;1.53e+03;3.14e+03;5.11e+03
0.6;1.65e+03;3.24e+03;5.14e+03
0.65;1.74e+03;3.31e+03;5.1e+03
0.7;1.83e+03;3.38e+03;5.09e+03
0.75;1.92e+03;3.39e+03;5.05e+03
0.8;1.99e+03;3.4e+03;4.97e+03
0.85;2.06e+03;3.35e+03;4.83e+03
0.9;2.1e+03;3.3e+03;4.7e+03
0.95;2.12e+03;3.23e+03;4.56e+03
1;2.12e+03;3.18e+03;4.4e+03
1.05;2.07e+03;3.11e+03;4.31e+03
1.1;2.04e+03;3.02e+03;4.2e+03
1.15;1.98e+03;2.95e+03;4.1e+03
1.2;1.92e+03;2.85e+03;4.01e+03
1.25;1.88e+03;2.75e+03;3.89e+03
1.3;1.85e+03;2.65e+03;3.76e+03
1.35;1.81e+03;2.58e+03;3.66e+03
1.4;1.75e+03;2.49e+03;3.56e+03
1.45;1.69e+03;2.4e+03;3.46e+03
1.5;1.62e+03;2.32e+03;3.37e+03
1.55;1.56e+03;2.25e+03;3.28e+03
1.6;1.5e+03;2.17e+03;3.19e+03
1.65;1.45e+03;2.11e+03;3.11e+03
1.7;1.4e+03;2.04e+03;3.04e+03
1.75;1.35e+03;1.99e+03;2.96e+03
1.8;1.3e+03;1.93e+03;2.89e+03
1.85;1.25e+03;1.88e+03;2.82e+03
1.9;1.21e+03;1.82e+03;2.76e+03
1.95;1.16e+03;1.77e+03;2.69e+03
2;1.12e+03;1.72e+03;2.63e+03
2.25;952;1.46e+03;2.35e+03
2.5;807;1.25e+03;2.12e+03
2.75;692;1.09e+03;1.9e+03
3;601;964;1.71e+03
3.25;526;867;1.54e+03
3.5;463;783;1.39e+03
3.75;411;715;1.27e+03
4;366;644;1.17e+03
4.25;327;582;1.08e+03
4.5;295;528;1e+03
4.75;267;481;924
5;242;440;855
5.25;220;405;798
5.5;201;370;748
5.75;184;339;701
6;169;314;659
6.25;156;288;620
6.5;145;265;591
6.75;135;250;558
7;126;234;526
7.25;120;220;496
7.5;114;211;469
7.75;107;202;445
8;101;190;424
8.25;95.3;177;404
8.5;90.2;166;385
8.75;85.6;156;366
9;81.4;150;347
9.25;77.6;147;330
9.5;74.2;141;314
9.75;71.2;135;299
10;68.6;131;286
10.3;67.4;128;274
10.5;65.8;123;265
10.8;63.5;118;258
11;61.3;114;253
11.3;59.3;111;248
11.5;57.5;109;241
11.8;55.7;105;235
12;54.2;101;229
12.3;52.8;97.5;223
12.5;51.5;94.5;218
12.8;50.3;93.5;213
13;49.1;92.7;208
13.3;48;90.3;205
13.5;46.8;87.1;203
13.8;45.6;85.2;200
14;44.5;83.3;198
14.3;43.4;81.3;195
14.5;42.4;79.1;194
14.8;41.4;77;192
15;40.5;75.2;190
15.3;39.6;74.5;188
15.5;38.8;72.6;185
15.8;38;70.3;183
16;37.3;68.2;180
16.3;36.6;66.2;178
16.5;35.9;64.6;173
16.8;35.2;63.2;168
17;34.6;61.7;166
17.3;34;60.3;163
17.5;33.4;59;160
17.8;32.9;57.7;156
18;32.3;56.5;153
18.3;31.8;55.2;150
18.5;31.3;54;148
18.8;30.6;52.8;146
19;29.8;51.7;144
19.3;29.3;50.5;142
19.5;28.8;49.4;139
19.8;28.2;48.4;136
20;27.6;47.4;133
20.3;27.2;46.4;130
20.5;26.7;45.4;127
20.8;26.2;44.5;124
21;25.8;43.6;121
21.3;25.4;42.4;118
21.5;24.9;41.4;115
21.8;24.5;40.5;113
22;24.1;39.6;110
22.3;23.7;38.8;107
22.5;23.3;38;104
22.8;22.9;37.2;101
23;22.5;36.5;98.3
23.3;22.1;35.7;96.1
23.5;21.7;35;93.8
23.8;21.4;34.4;91.6
24;21;33.8;89.5
