Distribution of BMI for simulated Healthy Adult Population.;
;
BMI [kg/m²];simulated Healthy Adult Population (n=100)
;
17.6 <= BMI < 18;1
18 <= BMI < 18.8;3
18.8 <= BMI < 19.7;4
19.7 <= BMI < 20.5;3
20.5 <= BMI < 21.3;9
21.3 <= BMI < 22.1;12
22.1 <= BMI < 22.9;12
22.9 <= BMI < 23.7;15
23.7 <= BMI < 24.5;11
24.5 <= BMI < 25.3;10
25.3 <= BMI < 26.1;3
26.1 <= BMI < 26.9;7
26.9 <= BMI < 27.8;4
27.8 <= BMI < 28.6;1
28.6 <= BMI < 29.4;1
29.4 <= BMI < 30.2;2
30.2 <= BMI < 31;1
31 <= BMI < 31.8;0
31.8 <= BMI < 32.6;0
32.6 <= BMI < 33.4;0
33.4 <= BMI < 33.8;1
