age dependency of Thalf Raltegravir for simulated virtual pediatric population in comparison to simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];Thalf [h];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;2.17;2.69;4.45;25
8.53-9.09;8.8;1.8;2.85;69.2;25
9.09-9.6;9.3;2.09;3.01;4.09;25
9.6-10.1;9.91;2.33;2.92;6.82;25
10.1-10.8;10.3;2.19;2.78;19.9;25
10.8-11.3;11.1;2.23;2.77;75.9;25
11.3-11.7;11.5;2.06;2.69;7.73;25
11.7-12.2;11.9;2.13;2.66;3.82;25
12.2-12.7;12.5;2.33;2.98;6.74;25
12.7-13;12.9;2.27;2.66;4.88;25
13-13.5;13.2;2.05;2.82;13.6;25
13.5-13.9;13.7;2.15;3.07;7.18;25
13.9-14.5;14.2;2.4;2.89;7.18;25
14.5-15;14.8;2.47;3.19;7.09;25
15-15.4;15.2;2.28;2.73;6.27;25
15.4-16;15.7;2.39;3.16;4.98;25
16-16.6;16.3;2.26;3.05;7.3;25
16.6-17.1;16.9;2.45;2.88;4.41;25
17.1-17.6;17.3;2.36;2.97;4.57;25
17.6-18;17.9;2.28;3.31;6.59;25
;;;;;
reference values:;6.23;8.98;15.7;;
