age dependency of CL Raltegravir for simulated virtual pediatric population in comparison to simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];CL [ml/min/kg];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;5.27;8.24;14.1;25
8.53-9.09;8.8;4.19;7.99;13.1;25
9.09-9.6;9.3;4.76;9.14;13.8;25
9.6-10.1;9.91;5.06;7.16;10.3;25
10.1-10.8;10.3;4.5;7.95;10.8;25
10.8-11.3;11.1;4.01;6.57;12.5;25
11.3-11.7;11.5;4.45;7.8;12.7;25
11.7-12.2;11.9;5.29;7.83;11.2;25
12.2-12.7;12.5;3.89;6;11.8;25
12.7-13;12.9;4.51;7.56;11.2;25
13-13.5;13.2;4.6;7.37;11.9;25
13.5-13.9;13.7;3.56;6.12;9.09;25
13.9-14.5;14.2;4.33;5.72;10.7;25
14.5-15;14.8;4.5;7.45;9.87;25
15-15.4;15.2;4.96;6.95;10;25
15.4-16;15.7;4.69;6.83;8.99;25
16-16.6;16.3;4.7;6.88;10.7;25
16.6-17.1;16.9;4.26;6.7;10.3;25
17.1-17.6;17.3;4.32;6.95;12.8;25
17.6-18;17.9;3.98;6.34;9.81;25
;;;;;
reference values:;6.16;10;15.2;;
