age dependency of C_{max} Raltegravir for simulated virtual pediatric population in comparison to simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];C_{max} [µg/l];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;723;1.47e+03;2.96e+03;25
8.53-9.09;8.8;590;1.21e+03;2.43e+03;25
9.09-9.6;9.3;528;1.32e+03;3.77e+03;25
9.6-10.1;9.91;873;1.23e+03;2.98e+03;25
10.1-10.8;10.3;650;1.18e+03;1.86e+03;25
10.8-11.3;11.1;497;996;1.67e+03;25
11.3-11.7;11.5;498;932;1.4e+03;25
11.7-12.2;11.9;647;976;1.86e+03;25
12.2-12.7;12.5;491;1e+03;2.29e+03;25
12.7-13;12.9;567;945;1.67e+03;25
13-13.5;13.2;634;839;1.7e+03;25
13.5-13.9;13.7;507;865;1.55e+03;25
13.9-14.5;14.2;525;901;1.5e+03;25
14.5-15;14.8;374;844;1.78e+03;25
15-15.4;15.2;358;826;1.77e+03;25
15.4-16;15.7;423;901;2.06e+03;25
16-16.6;16.3;446;912;1.73e+03;25
16.6-17.1;16.9;476;816;1.21e+03;25
17.1-17.6;17.3;476;798;1.65e+03;25
17.6-18;17.9;476;808;1.51e+03;25
;;;;;
reference values:;2.44e+03;3.95e+03;5.43e+03;;
