age dependency of t_{max} Raltegravir for simulated virtual pediatric population in comparison to simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];T_{max} [h];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;1.19;2.25;4.88;25
8.53-9.09;8.8;1.3;2.75;4.25;25
9.09-9.6;9.3;0.687;2.25;3.63;25
9.6-10.1;9.91;0.813;2.25;4.13;25
10.1-10.8;10.3;1.46;2.25;3.75;25
10.8-11.3;11.1;1.45;2.5;4.13;25
11.3-11.7;11.5;1.46;3;4.5;25
11.7-12.2;11.9;0.937;2.25;4.5;25
12.2-12.7;12.5;0.813;2.75;4.63;25
12.7-13;12.9;0.8;2.25;4.19;25
13-13.5;13.2;1.05;2.75;4.06;25
13.5-13.9;13.7;1.09;2.75;3.81;25
13.9-14.5;14.2;1.64;2.5;3.94;25
14.5-15;14.8;0.988;2.5;3.94;25
15-15.4;15.2;0.938;2.75;4.06;25
15.4-16;15.7;0.675;2.25;3.5;25
16-16.6;16.3;0.888;2.5;3.56;25
16.6-17.1;16.9;1.81;2.75;3.56;25
17.1-17.6;17.3;0.9;2.5;3.81;25
17.6-18;17.9;1.38;2.25;4.38;25
;;;;;
reference values:;0.5;0.7;1;;
