age dependency of AUC_{last} Raltegravir for simulated virtual pediatric population in comparison to simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];AUC_{last} [µg*h/l];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;4.66e+03;6.67e+03;9.8e+03;25
8.53-9.09;8.8;4.21e+03;6.34e+03;9.54e+03;25
9.09-9.6;9.3;3.75e+03;5.91e+03;1.03e+04;25
9.6-10.1;9.91;4.19e+03;6.22e+03;8.69e+03;25
10.1-10.8;10.3;4.07e+03;6.11e+03;8.21e+03;25
10.8-11.3;11.1;3.12e+03;5.9e+03;7.95e+03;25
11.3-11.7;11.5;3.11e+03;4.87e+03;8.48e+03;25
11.7-12.2;11.9;3.65e+03;4.84e+03;6.93e+03;25
12.2-12.7;12.5;3.24e+03;5.57e+03;8.05e+03;25
12.7-13;12.9;3.02e+03;4.27e+03;6.47e+03;25
13-13.5;13.2;3.08e+03;4.52e+03;6.12e+03;25
13.5-13.9;13.7;3.76e+03;4.75e+03;7.36e+03;25
13.9-14.5;14.2;3.49e+03;4.89e+03;6.49e+03;25
14.5-15;14.8;2.4e+03;4.21e+03;6.02e+03;25
15-15.4;15.2;2.19e+03;4.25e+03;5.81e+03;25
15.4-16;15.7;2.69e+03;4.16e+03;5.49e+03;25
16-16.6;16.3;2.69e+03;3.97e+03;6.55e+03;25
16.6-17.1;16.9;2.88e+03;4.01e+03;6.35e+03;25
17.1-17.6;17.3;2.69e+03;3.72e+03;6.95e+03;25
17.6-18;17.9;2.87e+03;4.11e+03;5.99e+03;25
;;;;;
reference values:;6.3e+03;9.64e+03;1.49e+04;;
