body weight dependency of CL Raltegravir for simulated virtual pediatric population in comparison to simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];CL [ml/min/kg];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;7.09;10.2;14.8;25
26.9-29.8;28.5;3.75;9.62;12.1;25
29.8-30.9;30.3;5.33;7.67;12.4;25
30.9-33.3;32.5;5.58;8;12.7;25
33.3-35.8;34.1;5;7.31;13.4;25
35.8-37.8;36.7;4.51;7.73;12.2;25
37.8-40.1;39.1;5;7.23;11.6;25
40.1-41.5;41;4.73;7.44;11;25
41.5-43.2;42.3;4.72;7.8;11.3;25
43.2-45.4;43.8;4.23;6.58;9.36;25
45.4-47.7;46.4;4.45;7.14;12.8;25
47.7-49.4;48.6;3.89;6.83;9.7;25
49.4-51;50.3;4.72;6.75;9.89;25
51-52.9;52.2;4.37;6.4;9.62;25
52.9-55.3;53.8;4.53;6.89;9.8;25
55.3-57.2;56.4;4.28;6.6;9.13;25
57.2-59.4;57.9;3.68;7.12;10.1;25
59.4-62.1;60.9;4.16;6.34;8.1;25
62.1-67.1;63.9;3.61;5.56;7.31;25
67.1-89;71.5;3.44;5.73;8.2;25
;;;;;
reference values:;6.16;10;15.2;;
