body weight dependency of Vss Raltegravir for simulated virtual pediatric population in comparison to simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];Vss [ml/kg];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;1.58e+03;2.52e+03;5.19e+03;25
26.9-29.8;28.5;1.48e+03;2.53e+03;8.59e+03;25
29.8-30.9;30.3;1.35e+03;2.06e+03;4.01e+03;25
30.9-33.3;32.5;1.3e+03;2.2e+03;4.92e+03;25
33.3-35.8;34.1;1.38e+03;2.06e+03;7.48e+03;25
35.8-37.8;36.7;1.47e+03;2.31e+03;3.66e+03;25
37.8-40.1;39.1;1.68e+03;2.06e+03;4.42e+03;25
40.1-41.5;41;1.15e+03;2.14e+03;3.93e+03;25
41.5-43.2;42.3;1.41e+03;2.44e+03;3.68e+03;25
43.2-45.4;43.8;1.32e+03;2.01e+03;5.99e+03;25
45.4-47.7;46.4;1.62e+03;2.19e+03;4.61e+03;25
47.7-49.4;48.6;1.27e+03;1.99e+03;3.46e+03;25
49.4-51;50.3;1.16e+03;1.91e+03;3.37e+03;25
51-52.9;52.2;1.36e+03;1.96e+03;7.33e+03;25
52.9-55.3;53.8;1.39e+03;1.83e+03;5.38e+03;25
55.3-57.2;56.4;1.35e+03;1.83e+03;3.45e+03;25
57.2-59.4;57.9;1.35e+03;2.04e+03;3.62e+03;25
59.4-62.1;60.9;1.2e+03;1.75e+03;2.8e+03;25
62.1-67.1;63.9;1.29e+03;1.59e+03;2.79e+03;25
67.1-89;71.5;1.13e+03;1.59e+03;2.84e+03;25
;;;;;
reference values:;1.99e+03;3.06e+03;5.58e+03;;
