body weight dependency of C_{tEnd} Raltegravir for simulated virtual pediatric population in comparison to simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];C_{tEnd} [µg/l];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;33.4;83;168;25
26.9-29.8;28.5;31.5;67.3;271;25
29.8-30.9;30.3;30;77.3;217;25
30.9-33.3;32.5;36.4;83.2;180;25
33.3-35.8;34.1;42.3;97.3;191;25
35.8-37.8;36.7;33.6;70.3;207;25
37.8-40.1;39.1;31.5;78.5;243;25
40.1-41.5;41;34;95.5;196;25
41.5-43.2;42.3;28;63.5;219;25
43.2-45.4;43.8;36.4;77.1;195;25
45.4-47.7;46.4;25.3;80.6;262;25
47.7-49.4;48.6;25.7;80.9;274;25
49.4-51;50.3;35.4;61.9;166;25
51-52.9;52.2;31.7;80.6;140;25
52.9-55.3;53.8;23;56.7;129;25
55.3-57.2;56.4;34.6;64.1;135;25
57.2-59.4;57.9;21.3;59.2;267;25
59.4-62.1;60.9;32.4;60;127;25
62.1-67.1;63.9;43.8;86.8;148;25
67.1-89;71.5;31.7;59.7;183;25
;;;;;
reference values:;18.6;32.3;62.8;;
