body weight dependency of AUC_{last} norm Raltegravir for simulated virtual pediatric population in comparison to simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];AUC_{last} norm [kg*h/l];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;1.04;1.57;2.23;25
26.9-29.8;28.5;1.25;1.62;2.81;25
29.8-30.9;30.3;1.23;1.91;2.91;25
30.9-33.3;32.5;1.24;1.96;2.85;25
33.3-35.8;34.1;0.941;2.08;3.02;25
35.8-37.8;36.7;1.28;2.08;3.12;25
37.8-40.1;39.1;1.39;2.14;2.83;25
40.1-41.5;41;1.44;2.04;3.3;25
41.5-43.2;42.3;1.38;1.88;3.23;25
43.2-45.4;43.8;1.61;2.23;2.86;25
45.4-47.7;46.4;1.26;2.19;3.04;25
47.7-49.4;48.6;1.58;2.34;3.74;25
49.4-51;50.3;1.6;2.35;3.4;25
51-52.9;52.2;1.38;2.3;3.21;25
52.9-55.3;53.8;1.34;2.19;2.99;25
55.3-57.2;56.4;1.64;2.36;3.67;25
57.2-59.4;57.9;1.55;2.19;3.58;25
59.4-62.1;60.9;1.99;2.48;3.68;25
62.1-67.1;63.9;2.03;2.7;4.17;25
67.1-89;71.5;1.83;2.69;4.24;25
;;;;;
reference values:;1.03;1.56;2.59;;
