body weight dependency of MRT Raltegravir for simulated virtual pediatric population in comparison to simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];MRT [h];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;2.9;4.62;6.27;25
26.9-29.8;28.5;3.07;4.5;99.6;25
29.8-30.9;30.3;2.68;4.48;7.4;25
30.9-33.3;32.5;3.15;4.82;7.95;25
33.3-35.8;34.1;3.56;4.94;14.4;25
35.8-37.8;36.7;3.78;4.53;6.71;25
37.8-40.1;39.1;3.66;5.17;12.6;25
40.1-41.5;41;3.46;4.89;9.91;25
41.5-43.2;42.3;3.7;5.09;7.55;25
43.2-45.4;43.8;3.27;4.92;105;25
45.4-47.7;46.4;3.35;5.45;14.5;25
47.7-49.4;48.6;3.09;5.58;8.83;25
49.4-51;50.3;3.94;4.76;7.7;25
51-52.9;52.2;3.15;5.28;18.7;25
52.9-55.3;53.8;3.47;4.68;11.8;25
55.3-57.2;56.4;3.82;5.1;7.03;25
57.2-59.4;57.9;3.37;5.09;9.78;25
59.4-62.1;60.9;3.63;4.88;7.89;25
62.1-67.1;63.9;4.18;5.65;7.06;25
67.1-89;71.5;3.45;5.05;7.06;25
;;;;;
reference values:;4.35;5.11;6.88;;
