age dependency of AUC_{last} Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];AUC_{last} [%];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;48.3;69.2;102;25
8.53-9.09;8.8;43.7;65.8;99;25
9.09-9.6;9.3;38.9;61.3;107;25
9.6-10.1;9.91;43.5;64.6;90.2;25
10.1-10.8;10.3;42.2;63.4;85.2;25
10.8-11.3;11.1;32.3;61.2;82.5;25
11.3-11.7;11.5;32.3;50.5;87.9;25
11.7-12.2;11.9;37.9;50.2;71.9;25
12.2-12.7;12.5;33.6;57.8;83.5;25
12.7-13;12.9;31.3;44.3;67.2;25
13-13.5;13.2;31.9;46.9;63.5;25
13.5-13.9;13.7;39;49.3;76.4;25
13.9-14.5;14.2;36.2;50.7;67.3;25
14.5-15;14.8;24.9;43.7;62.5;25
15-15.4;15.2;22.7;44.1;60.3;25
15.4-16;15.7;27.9;43.2;57;25
16-16.6;16.3;28;41.2;68;25
16.6-17.1;16.9;29.9;41.6;65.9;25
17.1-17.6;17.3;28;38.6;72.2;25
17.6-18;17.9;29.7;42.6;62.1;25
