age dependency of MRT Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Age [years];MRT [%];;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;56.8;89.1;140;25
8.53-9.09;8.8;66.8;97;1.91e+03;25
9.09-9.6;9.3;51.3;91;135;25
9.6-10.1;9.91;59.8;89.7;189;25
10.1-10.8;10.3;70.9;94.8;464;25
10.8-11.3;11.1;72;107;2.09e+03;25
11.3-11.7;11.5;73.1;104;185;25
11.7-12.2;11.9;68.1;90.7;124;25
12.2-12.7;12.5;72.2;98.8;191;25
12.7-13;12.9;65.2;93.3;135;25
13-13.5;13.2;75.5;93.8;331;25
13.5-13.9;13.7;73.6;102;233;25
13.9-14.5;14.2;76.4;102;203;25
14.5-15;14.8;64.2;95;168;25
15-15.4;15.2;61.6;94.2;162;25
15.4-16;15.7;64.3;90.6;147;25
16-16.6;16.3;69.1;99.6;170;25
16.6-17.1;16.9;76.9;106;137;25
17.1-17.6;17.3;65.1;98.9;123;25
17.6-18;17.9;72.4;103;204;25
