body weight dependency of C_{max} Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];C_{max} [%];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;15.2;36.4;74.7;25
26.9-29.8;28.5;21;30.4;76.7;25
29.8-30.9;30.3;17.8;37;71.4;25
30.9-33.3;32.5;13.1;29.9;75.3;25
33.3-35.8;34.1;11.6;28.5;50.4;25
35.8-37.8;36.7;15.6;29.8;54.4;25
37.8-40.1;39.1;14.5;27.4;40.6;25
40.1-41.5;41;16;25;67.5;25
41.5-43.2;42.3;15.4;21.1;41.6;25
43.2-45.4;43.8;13;26.5;43.2;25
45.4-47.7;46.4;10.4;25.2;37.6;25
47.7-49.4;48.6;12.3;23.1;44.3;25
49.4-51;50.3;12.8;22.1;44.4;25
51-52.9;52.2;10.9;20.7;44.9;25
52.9-55.3;53.8;8.66;23.2;41.7;25
55.3-57.2;56.4;10.9;22.7;32.2;25
57.2-59.4;57.9;11.5;19;35.3;25
59.4-62.1;60.9;14.8;21.3;37.6;25
62.1-67.1;63.9;14.1;20.4;31.4;25
67.1-89;71.5;10.9;19.5;45.4;25
