body weight dependency of C_{tEnd} Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];C_{tEnd} [%];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;103;257;520;25
26.9-29.8;28.5;97.4;208;836;25
29.8-30.9;30.3;92.8;239;671;25
30.9-33.3;32.5;113;257;557;25
33.3-35.8;34.1;131;301;591;25
35.8-37.8;36.7;104;217;641;25
37.8-40.1;39.1;97.4;243;750;25
40.1-41.5;41;105;295;606;25
41.5-43.2;42.3;86.5;196;676;25
43.2-45.4;43.8;112;238;603;25
45.4-47.7;46.4;78.1;249;810;25
47.7-49.4;48.6;79.4;250;848;25
49.4-51;50.3;110;191;512;25
51-52.9;52.2;97.9;249;433;25
52.9-55.3;53.8;71.2;175;399;25
55.3-57.2;56.4;107;198;416;25
57.2-59.4;57.9;65.8;183;825;25
59.4-62.1;60.9;100;186;393;25
62.1-67.1;63.9;136;268;458;25
67.1-89;71.5;98;185;565;25
