body weight dependency of AUC_{last} Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];AUC_{last} [%];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;43.6;63.6;102;25
26.9-29.8;28.5;45.9;59.3;99.8;25
29.8-30.9;30.3;42.3;66.1;99.9;25
30.9-33.3;32.5;41.1;63.4;90.2;25
33.3-35.8;34.1;28.9;62.7;91.6;25
35.8-37.8;36.7;36.3;59.6;88;25
37.8-40.1;39.1;36.4;56.8;74.6;25
40.1-41.5;41;36.2;51.8;83.5;25
41.5-43.2;42.3;33.7;46.9;78.8;25
43.2-45.4;43.8;38.4;53.5;67.9;25
45.4-47.7;46.4;28.2;48.7;67;25
47.7-49.4;48.6;33.7;49.1;80.9;25
49.4-51;50.3;32.9;48.5;70.3;25
51-52.9;52.2;27.4;45.5;63.9;25
52.9-55.3;53.8;25.8;42.6;57.7;25
55.3-57.2;56.4;30.5;43.4;67;25
57.2-59.4;57.9;27.9;39.3;64;25
59.4-62.1;60.9;33.6;41.5;63.3;25
62.1-67.1;63.9;33.5;44.2;67.7;25
67.1-89;71.5;26.8;39;63.2;25
