body weight dependency of AUC_{last} norm Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];AUC_{last} norm [%];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;66.6;100;143;25
26.9-29.8;28.5;79.9;104;179;25
29.8-30.9;30.3;78.9;122;186;25
30.9-33.3;32.5;79.4;125;182;25
33.3-35.8;34.1;60.1;133;193;25
35.8-37.8;36.7;81.8;133;200;25
37.8-40.1;39.1;88.8;137;181;25
40.1-41.5;41;92.2;130;211;25
41.5-43.2;42.3;88;120;207;25
43.2-45.4;43.8;103;142;183;25
45.4-47.7;46.4;80.8;140;194;25
47.7-49.4;48.6;101;149;239;25
49.4-51;50.3;102;150;217;25
51-52.9;52.2;88.1;147;205;25
52.9-55.3;53.8;85.4;140;191;25
55.3-57.2;56.4;105;151;235;25
57.2-59.4;57.9;99;140;229;25
59.4-62.1;60.9;127;158;236;25
62.1-67.1;63.9;130;173;267;25
67.1-89;71.5;117;172;271;25
