body weight dependency of AUC_{inf} norm Raltegravir for simulated virtual pediatric population as fraction of median of simulated Filmcoated_tablet_400mg_sd;;;;;
;;;;;
Body weight [kg];AUC_{inf} norm [%];;;;
Range of body weight;Median of body weight;5^{th} percentile;median;95^{th} percentile;N individuals
21-26.9;24.4;68.2;98.1;143;25
26.9-29.8;28.5;82.8;104;398;25
29.8-30.9;30.3;80.8;131;188;25
30.9-33.3;32.5;82.2;126;180;25
33.3-35.8;34.1;75.5;137;201;25
35.8-37.8;36.7;82.5;130;224;25
37.8-40.1;39.1;86.8;139;207;25
40.1-41.5;41;94;135;213;25
41.5-43.2;42.3;89;129;215;25
43.2-45.4;43.8;107;153;576;25
45.4-47.7;46.4;78.8;141;230;25
47.7-49.4;48.6;104;147;259;25
49.4-51;50.3;102;149;216;25
51-52.9;52.2;105;157;231;25
52.9-55.3;53.8;103;146;222;25
55.3-57.2;56.4;111;152;238;25
57.2-59.4;57.9;99.8;141;273;25
59.4-62.1;60.9;125;158;242;25
62.1-67.1;63.9;138;181;278;25
67.1-89;71.5;123;175;294;25
