Age-dependence of Ontogeny factor GI CYP1A2 for simulated virtual pediatric population in comparison to simulated Healthy Adult Population.;;;;;
;;;;;
Age [years];Ontogeny factor GI CYP1A2;;;;
Range of age;Median of age;5^{th} percentile;median;95^{th} percentile;N individuals
8-8.53;8.2;0.413;1.11;2.35;25
8.53-9.09;8.8;0.474;0.992;1.63;25
9.09-9.6;9.3;0.608;1.16;2.19;25
9.6-10.1;9.91;0.506;0.975;2.16;25
10.1-10.8;10.3;0.414;1.05;1.9;25
10.8-11.3;11.1;0.457;1.04;2.19;25
11.3-11.7;11.5;0.438;0.864;2.36;25
11.7-12.2;11.9;0.357;1.25;2.24;25
12.2-12.7;12.5;0.592;1.28;2.01;25
12.7-13;12.9;0.533;1.07;1.91;25
13-13.5;13.2;0.387;1.05;2.98;25
13.5-13.9;13.7;0.515;0.838;3.14;25
13.9-14.5;14.2;0.581;1.13;1.9;25
14.5-15;14.8;0.447;1.12;2.2;25
15-15.4;15.2;0.455;1.07;1.7;25
15.4-16;15.7;0.341;1;1.74;25
16-16.6;16.3;0.596;1.06;2.03;25
16.6-17.1;16.9;0.396;0.942;1.94;25
17.1-17.6;17.3;0.549;1.01;2.66;25
17.6-18;17.9;0.424;0.844;2.18;25
;;;;;
reference values:;0.469;1.14;2.4;;
